# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.781193 0.000000 2.789639
2.020202 2.732625 0.000000 5.744022
3.030303 4.292825 3.287027 5.298623
4.040404 5.867393 5.856861 5.877924
5.050505 6.944831 4.986110 8.903553
6.060606 9.283344 8.042144 10.524544
7.070707 11.056169 9.947129 12.165209
8.080808 11.747826 11.711382 11.784270
9.090909 5.803504 1.092491 10.514516
10.101010 6.525147 3.642210 9.408085
11.111111 8.257088 6.735907 9.778270
12.121212 9.141155 7.893018 10.389292
13.131313 9.755717 8.748300 10.763134
14.141414 10.330103 10.329843 10.330363
15.151515 11.916488 10.896944 12.936031
16.161616 12.728155 11.719327 13.736983
17.171717 13.502748 12.254103 14.751394
18.181818 13.502748 12.254103 14.751394
19.191919 12.709969 9.328679 16.091259
20.202020 11.536006 8.102708 14.969304
21.212121 11.913765 8.163144 15.664386
22.222222 11.911745 9.409144 14.414347
23.232323 12.001597 8.840944 15.162251
24.242424 12.291265 9.500973 15.081557
25.252525 13.875842 12.865328 14.886356
26.262626 13.920265 12.813167 15.027363
27.272727 10.686469 6.951186 14.421753
28.282828 8.308561 8.233894 8.383229
29.292929 8.482312 7.986013 8.978611
30.303030 8.457458 7.948586 8.966331
31.313131 8.853845 7.838537 9.869154
32.323232 9.646621 8.602008 10.691234
33.333333 10.043201 8.339355 11.747047
34.343434 10.453511 8.358229 12.548794
35.353535 11.710497 9.426824 13.994169
36.363636 12.025938 9.396161 14.655715
37.373737 10.241686 8.481313 12.002059
38.383838 9.629568 7.738704 11.520432
39.393939 9.623631 7.725583 11.521680
40.404040 10.020056 8.344389 11.695723
41.414141 10.020056 8.344389 11.695723
42.424242 11.094868 9.068884 13.120853
43.434343 11.016133 8.438618 13.593648
44.444444 13.781451 11.881716 15.681187
45.454545 12.017250 9.104441 14.930060
46.464646 11.371694 7.912592 14.830796
47.474747 9.590253 7.385583 11.794923
48.484848 9.588842 7.382725 11.794959
49.494949 11.174748 8.623126 13.726370
50.505051 10.381516 8.698994 12.064039
51.515152 11.173290 9.192064 13.154516
52.525253 11.848358 8.877851 14.818866
53.535354 14.214170 12.499389 15.928950
54.545455 13.266554 11.674038 14.859070
55.555556 8.219470 8.213443 8.225498
56.565657 8.613443 7.594465 9.632422
57.575758 8.984270 7.775340 10.193199
58.585859 9.406130 8.158143 10.654118
59.595960 10.595532 9.575890 11.615175
60.606061 11.388706 9.349526 13.427886
61.616162 12.142170 9.917846 14.366494
62.626263 13.079610 10.680437 15.478783
63.636364 14.198427 12.360313 16.036541
64.646465 10.199580 6.975891 13.423269
65.656566 9.009921 7.761691 10.258150
66.666667 8.613481 7.594370 9.632593
67.676768 10.595849 8.098593 13.093106
68.686869 10.705494 9.819228 11.591759
69.696970 12.190439 12.168504 12.212374
70.707071 12.975103 10.935829 15.014377
71.717172 12.578827 8.832870 16.324784
72.727273 13.972958 10.175190 17.770726
73.737374 12.480147 7.927609 17.032685
74.747475 12.480147 7.927609 17.032685
75.757576 12.838757 8.773904 16.903611
76.767677 12.876534 8.854184 16.898885
77.777778 13.273127 9.570501 16.975752
78.787879 13.273127 9.570501 16.975752
79.797980 12.182390 7.917594 16.447186
80.808081 12.182390 7.917594 16.447186
81.818182 11.040282 6.533597 15.546968
82.828283 9.416402 6.364146 12.468657
83.838384 9.416402 6.364146 12.468657
84.848485 9.812725 6.849012 12.776438
85.858586 9.812725 6.849012 12.776438
86.868687 10.209270 6.995413 13.423127
87.878788 10.605657 7.646334 13.564979
88.888889 12.974997 10.935605 15.014390
89.898990 12.974966 10.375380 15.574552
90.909091 11.388871 8.789700 13.988043
91.919192 11.388871 8.789700 13.988043
92.929293 11.391375 8.797250 13.985501
93.939394 11.785261 9.877638 13.692884
94.949495 12.578431 11.558666 13.598196
95.959596 12.578431 11.558666 13.598196
96.969697 12.975059 9.916874 16.033243
97.979798 11.335839 4.063220 18.608458
98.989899 10.146292 2.996310 17.296273
100.000000 5.700853 0.000000 11.925078
