# fraction_pct mean ci_low ci_high
0.000000 4.417931 0.000000 9.101083
1.010101 8.819279 7.652457 9.986101
2.020202 9.690739 9.220384 10.161093
3.030303 10.023091 9.932352 10.113829
4.040404 10.217258 9.835678 10.598839
5.050505 10.455703 9.953453 10.957953
6.060606 10.665936 10.157836 11.174035
7.070707 10.684720 10.183129 11.186311
8.080808 10.689122 10.187778 11.190467
9.090909 7.155809 5.182355 9.129263
10.101010 7.113180 4.572142 9.654218
11.111111 6.286731 1.764997 10.808466
12.121212 7.833667 3.661687 12.005647
13.131313 11.704516 11.065768 12.343263
14.141414 12.086926 11.691227 12.482625
15.151515 12.237451 11.679048 12.795855
16.161616 12.354416 11.784526 12.924305
17.171717 12.339742 11.779890 12.899595
18.181818 12.341614 11.785817 12.897412
19.191919 12.023442 11.396434 12.650450
20.202020 12.157068 11.691169 12.622968
21.212121 12.291758 12.023216 12.560299
22.222222 13.440516 11.820292 15.060739
23.232323 12.432474 11.162971 13.701977
24.242424 12.304646 11.910149 12.699143
25.252525 12.648722 10.550429 14.747015
26.262626 13.498666 10.476665 16.520667
27.272727 14.682611 12.840301 16.524921
28.282828 15.521251 14.272189 16.770313
29.292929 15.309672 14.010797 16.608546
30.303030 15.399111 14.183554 16.614669
31.313131 16.304810 14.257562 18.352058
32.323232 16.682668 14.761225 18.604111
33.333333 15.805989 14.198923 17.413056
34.343434 15.185590 13.748051 16.623129
35.353535 14.514080 12.033874 16.994286
36.363636 14.260116 11.961052 16.559180
37.373737 15.347593 14.385089 16.310097
38.383838 15.391594 14.502580 16.280608
39.393939 15.415065 14.515461 16.314669
40.404040 15.738502 14.872108 16.604897
41.414141 15.655538 14.859417 16.451659
42.424242 15.165077 13.020919 17.309235
43.434343 14.538305 12.669632 16.406979
44.444444 13.343050 12.105279 14.580821
45.454545 13.516716 11.331077 15.702354
46.464646 13.686484 11.780903 15.592064
47.474747 13.785968 11.975704 15.596233
48.484848 13.797332 12.002172 15.592492
49.494949 13.709684 11.801604 15.617764
50.505051 13.982967 12.454161 15.511773
51.515152 13.525779 11.394728 15.656830
52.525253 13.277924 11.252494 15.303355
53.535354 13.560425 11.334700 15.786150
54.545455 15.606488 13.598782 17.614193
55.555556 16.355002 15.028580 17.681424
56.565657 16.395724 15.067215 17.724233
57.575758 17.144993 15.156847 19.133139
58.585859 16.932029 15.396007 18.468052
59.595960 16.881214 15.246472 18.515957
60.606061 16.264443 14.405360 18.123527
61.616162 14.838166 12.053636 17.622696
62.626263 14.966640 12.200347 17.732934
63.636364 15.169092 13.364659 16.973526
64.646465 15.365567 13.090177 17.640957
65.656566 16.090755 15.443751 16.737759
66.666667 16.169042 15.664948 16.673136
67.676768 15.824657 13.883750 17.765565
68.686869 16.152013 15.411173 16.892854
69.696970 14.176833 13.305504 15.048162
70.707071 13.980995 11.862507 16.099483
71.717172 14.212654 12.487367 15.937942
72.727273 14.270010 12.916899 15.623122
73.737374 14.216775 12.766509 15.667041
74.747475 14.217542 12.768722 15.666363
75.757576 14.271878 12.922050 15.621706
76.767677 14.272024 12.922453 15.621595
77.777778 14.161846 12.605062 15.718629
78.787879 14.162030 12.605614 15.718446
79.797980 14.061107 12.175577 15.946637
80.808081 14.003784 12.111106 15.896462
81.818182 15.004058 14.073739 15.934378
82.828283 14.900892 14.061771 15.740012
83.838384 14.895963 14.059341 15.732584
84.848485 15.072788 14.047559 16.098016
85.858586 15.073438 14.047208 16.099669
86.868687 14.691846 13.792651 15.591041
87.878788 14.669255 13.306686 16.031824
88.888889 13.834943 12.056075 15.613810
89.898990 14.149691 12.641113 15.658268
90.909091 14.282929 13.045552 15.520305
91.919192 14.272411 13.014890 15.529931
92.929293 14.286602 13.056196 15.517007
93.939394 14.289075 13.063347 15.514804
94.949495 14.184449 12.886965 15.481932
95.959596 14.107154 12.598325 15.615983
96.969697 14.461398 11.135749 17.787047
97.979798 11.293457 3.909281 18.677633
98.989899 11.891751 3.853278 19.930225
100.000000 8.936243 0.000000 18.329833
