# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000000
2.020202 0.000000 0.000000 0.000000
3.030303 0.000000 0.000000 0.000000
4.040404 3.023880 1.773598 4.274161
5.050505 4.691481 3.453188 5.929774
6.060606 4.117305 2.167541 6.067069
7.070707 3.843595 2.151562 5.535628
8.080808 4.159901 2.823750 5.496052
9.090909 3.735383 2.750123 4.720642
10.101010 4.118604 4.118597 4.118610
11.111111 4.118604 4.118597 4.118610
12.121212 4.118604 4.118597 4.118610
13.131313 4.118604 4.118597 4.118610
14.141414 4.118604 4.118597 4.118610
15.151515 4.659462 4.022376 5.296548
16.161616 5.915337 4.190927 7.639747
17.171717 5.426851 4.028824 6.824878
18.181818 4.918336 3.648741 6.187931
19.191919 4.918336 3.648741 6.187931
20.202020 4.123292 4.102227 4.144358
21.212121 4.113222 4.109761 4.116683
22.222222 4.475122 3.541215 5.409029
23.232323 4.103151 4.080719 4.125583
24.242424 4.179423 4.072305 4.286541
25.252525 5.025146 3.576646 6.473647
26.262626 5.305866 4.006010 6.605722
27.272727 4.090326 4.049974 4.130678
28.282828 4.066885 4.063384 4.070386
29.292929 4.065522 4.061229 4.069815
30.303030 4.061850 4.051775 4.071924
31.313131 4.061850 4.051775 4.071924
32.323232 4.276942 3.730054 4.823830
33.333333 4.522948 3.343609 5.702288
34.343434 4.897519 3.582114 6.212925
35.353535 4.485348 3.401130 5.569565
36.363636 4.483985 3.398895 5.569074
37.373737 4.483985 3.398895 5.569074
38.383838 4.483985 3.398895 5.569074
39.393939 4.380504 3.561453 5.199555
40.404040 4.060010 4.050038 4.069982
41.414141 4.060010 4.050038 4.069982
42.424242 4.172074 3.882872 4.461276
43.434343 4.730461 3.001415 6.459507
44.444444 4.058171 4.048885 4.067456
45.454545 4.056334 4.046917 4.065752
46.464646 4.582006 3.222840 5.941172
47.474747 4.053135 4.047624 4.058647
48.484848 4.053135 4.047624 4.058647
49.494949 4.052659 4.046890 4.058428
50.505051 4.052659 4.046890 4.058428
51.515152 4.386206 3.528897 5.243516
52.525253 4.786371 2.900247 6.672495
53.535354 4.052659 4.046890 4.058428
54.545455 4.473111 3.392379 5.553842
55.555556 4.052174 4.046217 4.058131
56.565657 4.311279 3.639162 4.983396
57.575758 4.267617 3.707755 4.827480
58.585859 4.054664 4.042305 4.067022
59.595960 4.393966 3.510828 5.277105
60.606061 4.371035 3.547649 5.194420
61.616162 4.910749 3.485008 6.336491
62.626263 4.124973 3.934542 4.315403
63.636364 4.050329 4.049087 4.051571
64.646465 4.050329 4.049087 4.051571
65.656566 4.050329 4.049087 4.051571
66.666667 4.050329 4.049087 4.051571
67.676768 4.050329 4.049087 4.051571
68.686869 4.467506 3.395237 5.539775
69.696970 4.411781 3.482814 5.340749
70.707071 4.590578 3.567127 5.614029
71.717172 4.134184 3.917355 4.351013
72.727273 4.049844 4.049815 4.049872
73.737374 4.051736 4.046878 4.056595
74.747475 4.049843 4.049815 4.049872
75.757576 4.049843 4.049815 4.049872
76.767677 4.049843 4.049815 4.049872
77.777778 4.049843 4.049815 4.049872
78.787879 4.101093 3.969340 4.232847
79.797980 4.828656 3.599973 6.057338
80.808081 4.577052 3.365475 5.788629
81.818182 4.530565 3.294645 5.766484
82.828283 4.530565 3.294645 5.766484
83.838384 4.530565 3.294645 5.766484
84.848485 4.051947 4.046554 4.057340
85.858586 4.468271 3.519333 5.417208
86.868687 5.132516 3.355431 6.909602
87.878788 4.486593 3.397907 5.575278
88.888889 4.468659 3.391841 5.545478
89.898990 4.577624 3.665811 5.489437
90.909091 4.049955 4.049624 4.050287
91.919192 4.049826 4.049820 4.049833
92.929293 4.049826 4.049820 4.049833
93.939394 4.049826 4.049820 4.049833
94.949495 4.049826 4.049820 4.049833
95.959596 4.049827 4.049820 4.049833
96.969697 4.393228 3.963759 4.822697
97.979798 4.922463 3.704287 6.140638
98.989899 5.428003 4.338246 6.517759
100.000000 2.434483 0.000000 4.977698
