# fraction_pct mean ci_low ci_high
0.000000 1.180880 0.000000 4.213529
1.010101 7.537591 7.019545 8.055638
2.020202 8.478090 7.911799 9.044380
3.030303 9.076333 8.851592 9.301074
4.040404 9.880964 9.723724 10.038205
5.050505 9.891073 9.727996 10.054149
6.060606 9.900711 9.734457 10.066965
7.070707 9.927003 9.755493 10.098514
8.080808 9.933786 9.767059 10.100513
9.090909 9.940806 9.780524 10.101088
10.101010 9.955045 9.798865 10.111224
11.111111 9.965471 9.810450 10.120492
12.121212 9.966938 9.810830 10.123046
13.131313 10.445291 9.630893 11.259689
14.141414 15.691760 12.091515 19.292005
15.151515 21.485315 18.337250 24.633380
16.161616 22.119952 20.461829 23.778075
17.171717 22.293600 20.354748 24.232452
18.181818 22.511403 20.793633 24.229173
19.191919 22.644393 21.096483 24.192303
20.202020 22.763604 22.130857 23.396351
21.212121 23.277447 22.883585 23.671309
22.222222 24.261210 23.054593 25.467827
23.232323 24.455928 23.433556 25.478299
24.242424 25.716712 24.770089 26.663335
25.252525 25.583580 25.016019 26.151141
26.262626 25.094001 23.836781 26.351221
27.272727 24.009332 23.653396 24.365268
28.282828 24.251233 23.640456 24.862009
29.292929 23.839330 22.717833 24.960826
30.303030 24.374711 23.851479 24.897944
31.313131 24.671308 23.915768 25.426847
32.323232 24.742700 24.030115 25.455286
33.333333 24.988915 24.279418 25.698411
34.343434 25.236847 24.674700 25.798993
35.353535 24.999647 24.263559 25.735734
36.363636 25.010894 24.294107 25.727681
37.373737 25.029999 24.344444 25.715555
38.383838 25.071868 24.388194 25.755542
39.393939 25.006037 24.694042 25.318032
40.404040 24.617675 24.144958 25.090391
41.414141 24.655717 24.157903 25.153531
42.424242 24.992836 23.852807 26.132866
43.434343 24.688662 24.169968 25.207356
44.444444 24.602663 24.043585 25.161741
45.454545 24.731420 23.999375 25.463464
46.464646 24.729518 24.057590 25.401445
47.474747 24.647879 23.909916 25.385842
48.484848 24.705422 24.059202 25.351641
49.494949 24.761746 24.109357 25.414135
50.505051 24.722694 24.191225 25.254164
51.515152 25.140074 23.916352 26.363796
52.525253 24.912546 24.169243 25.655850
53.535354 24.781844 24.207746 25.355941
54.545455 25.282927 23.785253 26.780601
55.555556 24.754960 24.190393 25.319528
56.565657 25.317680 23.672472 26.962888
57.575758 25.207215 23.856513 26.557917
58.585859 24.858686 24.243091 25.474281
59.595960 25.206250 23.922984 26.489517
60.606061 25.119033 24.173334 26.064732
61.616162 25.454690 24.171451 26.737928
62.626263 25.078598 24.091423 26.065773
63.636364 24.728341 24.104931 25.351752
64.646465 24.813012 24.047496 25.578527
65.656566 24.821178 24.059515 25.582841
66.666667 24.831277 24.072206 25.590348
67.676768 24.944898 24.122049 25.767748
68.686869 25.338141 24.513310 26.162973
69.696970 26.033760 24.463097 27.604422
70.707071 25.627606 24.324908 26.930303
71.717172 25.154797 24.570475 25.739119
72.727273 25.672469 24.495005 26.849933
73.737374 25.036313 24.523236 25.549391
74.747475 25.134018 24.583074 25.684963
75.757576 25.169375 24.546093 25.792657
76.767677 25.023176 24.468521 25.577831
77.777778 25.089838 24.628931 25.550744
78.787879 25.487451 24.643473 26.331429
79.797980 25.878911 24.510684 27.247138
80.808081 25.980147 24.807695 27.152599
81.818182 25.869167 24.708681 27.029654
82.828283 25.872339 24.712483 27.032195
83.838384 25.876610 24.717513 27.035708
84.848485 25.594581 24.724529 26.464633
85.858586 26.120547 24.435064 27.806029
86.868687 25.952066 24.920005 26.984127
87.878788 26.163773 24.255204 28.072342
88.888889 24.933394 24.014430 25.852358
89.898990 24.673883 23.840610 25.507156
90.909091 24.068050 22.606348 25.529752
91.919192 24.152657 22.757288 25.548027
92.929293 24.178410 22.837472 25.519349
93.939394 24.204454 22.917437 25.491471
94.949495 24.209420 23.118603 25.300238
95.959596 25.360960 24.756555 25.965364
96.969697 27.491425 25.964480 29.018369
97.979798 27.487563 26.137318 28.837808
98.989899 25.666656 24.125153 27.208158
100.000000 14.421379 0.000000 29.586728
