# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000001
2.020202 1.955104 0.000000 5.137499
3.030303 6.670872 4.665143 8.676601
4.040404 9.952028 7.187589 12.716467
5.050505 12.482872 10.466556 14.499189
6.060606 18.195022 16.329612 20.060432
7.070707 24.452271 21.607491 27.297050
8.080808 28.156535 27.041843 29.271228
9.090909 8.017046 2.513790 13.520302
10.101010 10.359666 6.951903 13.767428
11.111111 15.161826 13.353218 16.970435
12.121212 17.623192 16.412446 18.833939
13.131313 19.933132 18.719267 21.146997
14.141414 23.016999 22.025725 24.008274
15.151515 23.025468 19.081591 26.969345
16.161616 25.718905 24.501977 26.935833
17.171717 28.446772 24.250846 32.642698
18.181818 26.067899 19.850352 32.285445
19.191919 24.148221 18.412321 29.884120
20.202020 25.294984 18.156281 32.433687
21.212121 22.594141 16.518641 28.669641
22.222222 25.678028 20.362449 30.993606
23.232323 24.681292 18.876091 30.486493
24.242424 23.003413 16.454677 29.552149
25.252525 24.583966 16.218960 32.948971
26.262626 23.155622 13.957385 32.353859
27.272727 22.410406 15.125223 29.695589
28.282828 21.767786 17.149154 26.386418
29.292929 24.236680 16.550846 31.922514
30.303030 21.641942 15.630729 27.653154
31.313131 22.872602 15.842168 29.903037
32.323232 20.559505 16.380988 24.738022
33.333333 22.517844 17.859511 27.176177
34.343434 24.909704 19.408906 30.410502
35.353535 25.935297 18.962549 32.908046
36.363636 21.314023 16.291146 26.336900
37.373737 22.124792 16.482282 27.767302
38.383838 24.178161 17.275631 31.080692
39.393939 22.811876 16.069295 29.554457
40.404040 23.578430 17.163034 29.993826
41.414141 22.421989 18.603566 26.240413
42.424242 25.533008 19.087808 31.978207
43.434343 25.109087 17.159473 33.058702
44.444444 26.265361 19.066693 33.464029
45.454545 25.366312 17.693714 33.038910
46.464646 26.646750 19.203258 34.090242
47.474747 27.803209 20.699501 34.906917
48.484848 22.791725 15.230056 30.353395
49.494949 24.317308 16.481396 32.153220
50.505051 22.016159 15.871411 28.160906
51.515152 21.899118 13.562728 30.235508
52.525253 23.161017 13.808469 32.513565
53.535354 17.763846 14.796903 20.730788
54.545455 18.144987 14.183845 22.106129
55.555556 19.300672 15.945662 22.655682
56.565657 21.223595 17.197958 25.249232
57.575758 24.982328 19.849854 30.114802
58.585859 20.838887 14.117232 27.560541
59.595960 24.693632 17.112942 32.274322
60.606061 25.758734 17.080893 34.436575
61.616162 22.621147 15.897903 29.344391
62.626263 22.389034 15.752685 29.025382
63.636364 25.464291 18.180440 32.748141
64.646465 27.391763 21.006260 33.777265
65.656566 27.777248 22.040054 33.514442
66.666667 22.766231 15.349340 30.183123
67.676768 20.453317 14.384521 26.522113
68.686869 21.572640 14.607437 28.537842
69.696970 23.998795 16.217054 31.780535
70.707071 23.617028 17.576677 29.657380
71.717172 23.922354 17.385579 30.459130
72.727273 22.711680 17.123078 28.300282
73.737374 21.367559 17.370491 25.364628
74.747475 22.380148 18.234371 26.525925
75.757576 23.536971 18.941714 28.132228
76.767677 24.308043 19.352847 29.263240
77.777778 26.256027 19.977349 32.534705
78.787879 28.363282 21.972756 34.753808
79.797980 26.814854 18.761279 34.868429
80.808081 18.139687 15.251922 21.027451
81.818182 19.683776 15.660680 23.706871
82.828283 20.837819 17.947978 23.727661
83.838384 21.223288 18.249731 24.196845
84.848485 23.568649 21.099547 26.037751
85.858586 25.879576 22.310162 29.448990
86.868687 28.587089 25.231531 31.942647
87.878788 23.922771 16.672993 31.172549
88.888889 26.620803 20.883162 32.358444
89.898990 20.452737 16.307495 24.597980
90.909091 20.452737 16.307495 24.597980
91.919192 21.994361 18.352760 25.635962
92.929293 24.211155 20.970705 27.451605
93.939394 25.084096 23.113969 27.054223
94.949495 26.511252 25.415281 27.607224
95.959596 27.006337 25.792410 28.220264
96.969697 29.319529 28.105207 30.533851
97.979798 32.009521 31.985378 32.033664
98.989899 16.598677 16.598662 16.598692
100.000000 0.039665 0.039665 0.039666
