# fraction_pct mean ci_low ci_high
0.000000 0.003554 0.000865 0.006242
1.010101 7.314954 2.582140 12.047768
2.020202 9.577510 8.999781 10.155240
3.030303 10.180249 9.997437 10.363061
4.040404 10.579015 10.207746 10.950283
5.050505 10.611452 10.265662 10.957243
6.060606 11.185987 10.730554 11.641421
7.070707 11.150543 10.613282 11.687805
8.080808 11.191667 10.579482 11.803851
9.090909 8.694476 6.964984 10.423969
10.101010 7.275297 6.836392 7.714202
11.111111 7.598156 7.202694 7.993618
12.121212 12.006731 9.317675 14.695786
13.131313 14.792210 14.041312 15.543109
14.141414 14.387245 12.894137 15.880352
15.151515 12.895826 12.100479 13.691172
16.161616 13.660815 12.464967 14.856663
17.171717 14.018601 13.432731 14.604471
18.181818 13.698882 13.055462 14.342301
19.191919 13.685208 13.045574 14.324842
20.202020 13.552930 12.788117 14.317743
21.212121 13.967281 12.583971 15.350591
22.222222 14.388596 13.506451 15.270740
23.232323 14.056028 13.763106 14.348949
24.242424 13.967244 12.708731 15.225757
25.252525 13.706646 12.374856 15.038435
26.262626 13.511875 12.205498 14.818251
27.272727 14.636794 14.042203 15.231385
28.282828 13.612335 12.612391 14.612279
29.292929 13.014207 11.740525 14.287889
30.303030 14.079883 12.973590 15.186177
31.313131 13.189384 11.489039 14.889729
32.323232 13.593634 12.521963 14.665305
33.333333 13.987651 12.346683 15.628619
34.343434 14.203501 13.030962 15.376039
35.353535 13.598417 12.545022 14.651812
36.363636 14.158887 12.767652 15.550122
37.373737 13.193864 11.852973 14.534755
38.383838 14.124687 12.698509 15.550864
39.393939 13.899615 12.261302 15.537928
40.404040 13.173632 11.479391 14.867874
41.414141 13.394064 12.090708 14.697420
42.424242 13.707704 12.197216 15.218193
43.434343 14.313424 13.788451 14.838397
44.444444 13.998004 13.233541 14.762468
45.454545 13.537394 12.223357 14.851430
46.464646 12.935558 11.681809 14.189307
47.474747 13.110223 11.543454 14.676991
48.484848 14.330150 13.164070 15.496231
49.494949 13.447951 12.341613 14.554289
50.505051 14.638393 14.329345 14.947441
51.515152 14.198364 13.361556 15.035172
52.525253 13.973177 12.930812 15.015542
53.535354 14.276740 12.792692 15.760787
54.545455 12.932885 11.949343 13.916426
55.555556 14.379008 13.305119 15.452897
56.565657 14.322129 12.908627 15.735631
57.575758 14.229628 13.802291 14.656964
58.585859 14.220906 13.156679 15.285133
59.595960 14.425664 13.858731 14.992598
60.606061 14.039609 13.339606 14.739613
61.616162 14.521425 13.983709 15.059141
62.626263 13.123294 11.951537 14.295051
63.636364 14.527880 13.883715 15.172046
64.646465 13.916938 12.484463 15.349413
65.656566 13.852105 12.518412 15.185798
66.666667 13.436820 12.367811 14.505829
67.676768 14.579652 14.212413 14.946891
68.686869 13.995497 12.805343 15.185651
69.696970 14.237413 13.467702 15.007125
70.707071 14.780573 14.371264 15.189883
71.717172 13.874826 12.856028 14.893624
72.727273 14.286282 13.169886 15.402678
73.737374 14.693221 14.243891 15.142552
74.747475 14.191608 13.275964 15.107253
75.757576 13.912690 12.937016 14.888364
76.767677 14.553403 14.179235 14.927571
77.777778 14.211986 13.138565 15.285407
78.787879 13.988300 13.186054 14.790547
79.797980 14.532905 13.756926 15.308884
80.808081 13.749246 12.579140 14.919351
81.818182 14.076059 13.040541 15.111577
82.828283 14.361074 13.378659 15.343490
83.838384 14.295085 13.407257 15.182912
84.848485 14.232274 13.734281 14.730266
85.858586 14.539306 14.149465 14.929148
86.868687 14.001056 13.033338 14.968774
87.878788 14.317076 13.576812 15.057340
88.888889 13.900318 12.944932 14.855704
89.898990 14.383924 13.670368 15.097481
90.909091 13.729501 12.641644 14.817357
91.919192 13.761716 12.558722 14.964709
92.929293 14.642314 14.248455 15.036174
93.939394 14.210775 13.253858 15.167692
94.949495 14.569027 14.227871 14.910184
95.959596 14.568718 14.228242 14.909195
96.969697 14.456097 14.226087 14.686108
97.979798 13.658017 13.171745 14.144290
98.989899 14.864534 14.524128 15.204940
100.000000 0.000000 0.000000 0.000000
