# fraction_pct mean ci_low ci_high
0.000000 0.003687 0.002001 0.005372
1.010101 0.381521 0.137335 0.625706
2.020202 0.468687 0.159884 0.777489
3.030303 0.727203 0.614409 0.839997
4.040404 0.840574 0.806643 0.874505
5.050505 0.876457 0.845357 0.907557
6.060606 0.882519 0.853351 0.911686
7.070707 0.889098 0.859131 0.919064
8.080808 0.906383 0.861177 0.951590
9.090909 0.950477 0.874460 1.026494
10.101010 1.080213 1.012155 1.148271
11.111111 1.145648 1.126627 1.164668
12.121212 1.259494 1.121872 1.397116
13.131313 1.583938 1.519453 1.648424
14.141414 1.811698 1.646359 1.977036
15.151515 2.056752 1.924012 2.189491
16.161616 2.124556 1.975645 2.273466
17.171717 2.130669 1.988293 2.273046
18.181818 2.135672 2.002920 2.268424
19.191919 2.146603 2.018622 2.274584
20.202020 2.186216 2.088285 2.284147
21.212121 2.198601 2.098401 2.298801
22.222222 2.276658 2.168296 2.385020
23.232323 2.309680 2.191064 2.428297
24.242424 2.435263 2.372408 2.498118
25.252525 2.478676 2.424155 2.533197
26.262626 2.504865 2.398410 2.611320
27.272727 2.502744 2.402061 2.603428
28.282828 2.502784 2.402117 2.603451
29.292929 2.503476 2.402985 2.603967
30.303030 2.503643 2.403189 2.604096
31.313131 2.503840 2.403506 2.604173
32.323232 2.509832 2.411872 2.607792
33.333333 2.511631 2.415523 2.607739
34.343434 2.524080 2.430458 2.617701
35.353535 2.522211 2.428774 2.615648
36.363636 2.524350 2.433447 2.615254
37.373737 2.524651 2.433917 2.615384
38.383838 2.525296 2.433023 2.617570
39.393939 2.564226 2.474069 2.654383
40.404040 2.566503 2.475123 2.657882
41.414141 2.571405 2.470217 2.672593
42.424242 2.581107 2.483622 2.678592
43.434343 2.579641 2.482653 2.676628
44.444444 2.579504 2.483879 2.675129
45.454545 2.581181 2.482676 2.679686
46.464646 2.578773 2.482471 2.675075
47.474747 2.578773 2.482471 2.675075
48.484848 2.578773 2.482471 2.675075
49.494949 2.578773 2.482471 2.675075
50.505051 2.578773 2.482471 2.675075
51.515152 2.579160 2.482871 2.675449
52.525253 2.581203 2.484810 2.677596
53.535354 2.579535 2.482519 2.676551
54.545455 2.579422 2.482852 2.675992
55.555556 2.579301 2.482985 2.675617
56.565657 2.579301 2.482985 2.675617
57.575758 2.579301 2.482985 2.675617
58.585859 2.579301 2.482985 2.675617
59.595960 2.579301 2.482985 2.675617
60.606061 2.579304 2.482982 2.675627
61.616162 2.581399 2.484948 2.677849
62.626263 2.580044 2.482108 2.677980
63.636364 2.579310 2.482919 2.675702
64.646465 2.579319 2.482910 2.675728
65.656566 2.579331 2.482896 2.675766
66.666667 2.579331 2.482896 2.675766
67.676768 2.579331 2.482896 2.675766
68.686869 2.579331 2.482896 2.675766
69.696970 2.579331 2.482896 2.675766
70.707071 2.581520 2.484950 2.678089
71.717172 2.579377 2.482942 2.675811
72.727273 2.579377 2.482942 2.675811
73.737374 2.579377 2.482942 2.675811
74.747475 2.579377 2.482942 2.675811
75.757576 2.579377 2.482942 2.675811
76.767677 2.579377 2.482942 2.675811
77.777778 2.579377 2.482942 2.675811
78.787879 2.579842 2.483430 2.676254
79.797980 2.580371 2.483711 2.677030
80.808081 2.578957 2.482369 2.675545
81.818182 2.579189 2.482566 2.675812
82.828283 2.579189 2.482566 2.675812
83.838384 2.579194 2.482571 2.675818
84.848485 2.579492 2.482812 2.676172
85.858586 2.580767 2.483778 2.677755
86.868687 2.579436 2.482767 2.676105
87.878788 2.580512 2.484150 2.676874
88.888889 2.579776 2.483095 2.676457
89.898990 2.579491 2.482812 2.676170
90.909091 2.579491 2.482812 2.676170
91.919192 2.579512 2.482829 2.676195
92.929293 2.586214 2.486705 2.685723
93.939394 2.624120 2.547458 2.700783
94.949495 2.623194 2.547830 2.698558
95.959596 2.628792 2.544333 2.713250
96.969697 2.645586 2.564807 2.726365
97.979798 2.643706 2.566692 2.720720
98.989899 2.099683 0.748717 3.450649
100.000000 0.514121 0.000000 1.835925
