# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000000
2.020202 0.000000 0.000000 0.000000
3.030303 0.000000 0.000000 0.000000
4.040404 0.000000 0.000000 0.000000
5.050505 0.000000 0.000000 0.000000
6.060606 0.250508 0.000000 0.694979
7.070707 1.669321 0.662068 2.676574
8.080808 2.345226 2.228858 2.461595
9.090909 2.408662 2.378677 2.438647
10.101010 2.686287 2.052621 3.319952
11.111111 2.993463 2.426411 3.560515
12.121212 3.497533 3.176977 3.818090
13.131313 3.574316 3.246616 3.902016
14.141414 3.574316 3.246616 3.902016
15.151515 3.574316 3.246616 3.902016
16.161616 3.574316 3.246616 3.902016
17.171717 3.574316 3.246616 3.902016
18.181818 3.575244 3.246907 3.903580
19.191919 3.595062 3.249451 3.940672
20.202020 3.614507 3.256154 3.972860
21.212121 3.630138 3.263392 3.996885
22.222222 3.634698 3.264777 4.004619
23.232323 3.634368 3.264665 4.004072
24.242424 3.664941 3.271253 4.058629
25.252525 3.827139 3.289669 4.364610
26.262626 3.933253 3.295975 4.570531
27.272727 3.621635 3.011019 4.232252
28.282828 3.241925 2.757918 3.725932
29.292929 3.242230 2.757743 3.726717
30.303030 3.242230 2.757743 3.726717
31.313131 3.242230 2.757743 3.726717
32.323232 3.242230 2.757743 3.726717
33.333333 3.242230 2.757743 3.726717
34.343434 3.242200 2.757683 3.726717
35.353535 3.242139 2.757559 3.726718
36.363636 3.233765 2.739391 3.728139
37.373737 3.233735 2.739407 3.728063
38.383838 3.237136 2.746255 3.728018
39.393939 3.234229 2.818427 3.650031
40.404040 2.888751 2.555246 3.222255
41.414141 3.527846 3.374039 3.681654
42.424242 3.820317 3.629797 4.010837
43.434343 4.009443 3.903323 4.115563
44.444444 4.037875 3.937209 4.138542
45.454545 4.063037 4.034402 4.091672
46.464646 3.991753 3.878429 4.105077
47.474747 3.944491 3.830449 4.058532
48.484848 3.846339 3.832165 3.860514
49.494949 3.841125 3.815198 3.867053
50.505051 3.841162 3.815190 3.867134
51.515152 3.841156 3.815184 3.867128
52.525253 3.840849 3.814723 3.866974
53.535354 3.839453 3.810530 3.868377
54.545455 3.858994 3.848582 3.869407
55.555556 4.022050 3.730151 4.313950
56.565657 4.496577 3.778204 5.214950
57.575758 4.714107 4.129651 5.298564
58.585859 4.806533 4.423855 5.189210
59.595960 4.806533 4.423855 5.189210
60.606061 4.853573 4.455572 5.251573
61.616162 5.019286 4.360811 5.677760
62.626263 5.151479 4.195747 6.107212
63.636364 5.382431 3.863844 6.901019
64.646465 5.654743 3.460159 7.849327
65.656566 5.793501 3.246826 8.340176
66.666667 5.870524 3.127887 8.613161
67.676768 5.923186 3.046403 8.799969
68.686869 5.963275 2.984298 8.942251
69.696970 5.963275 2.984298 8.942251
70.707071 5.963275 2.984298 8.942251
71.717172 5.993523 2.937399 9.049647
72.727273 6.210638 2.599988 9.821288
73.737374 6.228654 2.571940 9.885368
74.747475 7.181196 3.046187 11.316205
75.757576 7.742028 2.909597 12.574459
76.767677 8.235390 3.038805 13.431974
77.777778 8.567875 2.877584 14.258165
78.787879 12.188265 9.455360 14.921170
79.797980 15.546616 15.037643 16.055589
80.808081 15.868484 15.433017 16.303952
81.818182 15.863131 15.358209 16.368052
82.828283 15.799982 15.382192 16.217771
83.838384 15.799982 15.382192 16.217771
84.848485 15.676462 15.265655 16.087269
85.858586 9.513101 0.000000 19.498912
86.868687 7.997378 0.000000 17.088925
87.878788 4.043448 0.000000 11.980745
88.888889 3.187915 0.000000 11.384045
89.898990 3.132509 0.000000 11.186188
90.909091 3.132509 0.000000 11.186188
91.919192 3.132509 0.000000 11.186188
92.929293 3.132509 0.000000 11.186188
93.939394 3.132509 0.000000 11.186188
94.949495 0.000000 0.000000 0.000000
95.959596 0.000000 0.000000 0.000000
96.969697 0.000000 0.000000 0.000000
97.979798 0.000000 0.000000 0.000000
98.989899 0.000000 0.000000 0.000000
100.000000 0.023532 0.004128 0.042935
