# fraction_pct mean ci_low ci_high
0.000000 0.002096 0.000741 0.003451
1.010101 2.779993 0.992114 4.567873
2.020202 6.565366 4.370884 8.759849
3.030303 10.764388 9.752545 11.776231
4.040404 13.555621 13.011658 14.099584
5.050505 15.870070 14.938910 16.801230
6.060606 17.641388 16.980315 18.302462
7.070707 17.327802 16.328593 18.327012
8.080808 17.406706 16.775353 18.038058
9.090909 17.633237 17.096717 18.169757
10.101010 17.648900 17.255398 18.042402
11.111111 17.424315 16.504388 18.344243
12.121212 17.561760 16.915437 18.208083
13.131313 16.466736 15.632165 17.301308
14.141414 16.408674 15.590106 17.227242
15.151515 16.621377 16.032616 17.210138
16.161616 16.924395 16.538120 17.310670
17.171717 17.012685 16.791641 17.233729
18.181818 17.189903 16.917863 17.461943
19.191919 16.901103 15.560179 18.242026
20.202020 16.849127 15.751383 17.946871
21.212121 17.093274 16.216474 17.970074
22.222222 16.724403 16.137821 17.310985
23.232323 17.174767 16.538417 17.811117
24.242424 17.398223 16.522400 18.274046
25.252525 17.488263 16.759063 18.217463
26.262626 17.628077 17.115050 18.141104
27.272727 16.493908 15.654007 17.333808
28.282828 15.871086 15.210474 16.531698
29.292929 15.698652 14.528729 16.868575
30.303030 15.220757 14.745418 15.696095
31.313131 15.782627 15.092620 16.472633
32.323232 15.847076 15.276335 16.417817
33.333333 15.965198 15.442626 16.487770
34.343434 16.188203 15.686609 16.689796
35.353535 16.447829 16.033183 16.862475
36.363636 16.671826 16.240309 17.103344
37.373737 17.017001 16.538264 17.495739
38.383838 17.429793 16.941882 17.917704
39.393939 17.592304 17.108008 18.076600
40.404040 17.663492 17.169472 18.157512
41.414141 17.684554 17.179599 18.189508
42.424242 17.511114 17.079040 17.943189
43.434343 16.838815 16.353013 17.324617
44.444444 15.831095 14.176929 17.485262
45.454545 14.459340 12.653758 16.264922
46.464646 14.652837 12.991082 16.314592
47.474747 14.565015 13.105907 16.024123
48.484848 15.811095 14.155077 17.467113
49.494949 17.412018 16.591318 18.232718
50.505051 17.784398 16.874557 18.694238
51.515152 16.580070 14.665025 18.495115
52.525253 16.035150 14.447668 17.622633
53.535354 16.533597 14.769635 18.297559
54.545455 17.279898 15.910788 18.649007
55.555556 17.293212 15.923785 18.662638
56.565657 17.714548 17.233316 18.195780
57.575758 17.817893 17.326510 18.309277
58.585859 17.825058 17.329505 18.320610
59.595960 17.825058 17.329505 18.320610
60.606061 17.824006 17.327025 18.320986
61.616162 17.825124 17.329660 18.320587
62.626263 17.823092 17.324863 18.321321
63.636364 17.831319 17.344043 18.318595
64.646465 17.827482 17.335127 18.319838
65.656566 17.828727 17.338019 18.319435
66.666667 17.829792 17.340480 18.319104
67.676768 17.827949 17.336214 18.319685
68.686869 17.828159 17.336701 18.319617
69.696970 17.828159 17.336701 18.319617
70.707071 17.828159 17.336701 18.319617
71.717172 17.828667 17.337880 18.319454
72.727273 17.827105 17.334248 18.319962
73.737374 17.819709 17.316731 18.322687
74.747475 17.831786 17.342831 18.320741
75.757576 17.834306 17.348044 18.320568
76.767677 17.846672 17.354876 18.338469
77.777778 17.847615 17.353445 18.341785
78.787879 17.872938 17.393152 18.352724
79.797980 17.933761 17.459138 18.408384
80.808081 17.415941 16.426056 18.405826
81.818182 16.788941 15.086902 18.490979
82.828283 16.283604 14.455600 18.111608
83.838384 16.027863 13.898259 18.157467
84.848485 16.626670 13.901122 19.352218
85.858586 14.572174 11.885408 17.258941
86.868687 15.234607 12.721392 17.747822
87.878788 13.649055 12.350363 14.947747
88.888889 13.597860 12.803260 14.392459
89.898990 14.050816 12.288191 15.813441
90.909091 14.052822 12.291484 15.814160
91.919192 14.056391 12.297353 15.815430
92.929293 14.056934 12.298248 15.815620
93.939394 14.057093 12.298510 15.815675
94.949495 12.844554 11.485341 14.203766
95.959596 12.723706 11.053831 14.393581
96.969697 12.583112 10.551798 14.614425
97.979798 12.583227 10.552209 14.614244
98.989899 12.614926 10.568300 14.661553
100.000000 4.635664 0.000000 12.141888
