# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000000
2.020202 0.000000 0.000000 0.000000
3.030303 0.000000 0.000000 0.000000
4.040404 0.000000 0.000000 0.000000
5.050505 0.000000 0.000000 0.000000
6.060606 0.000000 0.000000 0.000000
7.070707 0.357826 0.000000 0.903741
8.080808 1.652693 1.044731 2.260655
9.090909 2.408452 2.370809 2.446096
10.101010 2.423487 2.391053 2.455921
11.111111 2.784311 2.412209 3.156413
12.121212 3.334763 2.874865 3.794661
13.131313 3.617625 3.495286 3.739963
14.141414 3.693021 3.651071 3.734971
15.151515 3.693021 3.651071 3.734971
16.161616 3.693021 3.651071 3.734971
17.171717 3.693021 3.651071 3.734971
18.181818 3.693021 3.651071 3.734971
19.191919 3.707318 3.643915 3.770722
20.202020 3.734397 3.640242 3.828551
21.212121 3.734397 3.640242 3.828551
22.222222 3.744861 3.652775 3.836947
23.232323 3.754552 3.657423 3.851681
24.242424 3.754007 3.657358 3.850657
25.252525 3.774813 3.656898 3.892728
26.262626 3.847377 3.640201 4.054554
27.272727 3.990541 3.637052 4.344031
28.282828 4.099071 3.684553 4.513590
29.292929 3.333061 2.878164 3.787958
30.303030 3.237958 2.744218 3.731697
31.313131 3.237958 2.744218 3.731697
32.323232 3.237950 2.744222 3.731679
33.333333 3.237946 2.744225 3.731666
34.343434 3.237946 2.744225 3.731666
35.353535 3.237946 2.744225 3.731666
36.363636 3.237946 2.744225 3.731666
37.373737 3.237946 2.744225 3.731666
38.383838 3.237946 2.744225 3.731666
39.393939 3.237946 2.744225 3.731666
40.404040 3.237817 2.744297 3.731337
41.414141 3.257736 2.763975 3.751497
42.424242 2.737598 2.297793 3.177403
43.434343 2.802734 2.411469 3.193999
44.444444 3.070293 2.941742 3.198844
45.454545 3.398675 3.350608 3.446742
46.464646 3.723268 3.637420 3.809116
47.474747 4.005569 3.878293 4.132846
48.484848 4.083057 4.050241 4.115873
49.494949 4.075203 4.037097 4.113308
50.505051 4.075203 4.037097 4.113308
51.515152 4.067887 4.021253 4.114520
52.525253 3.987544 3.834871 4.140217
53.535354 3.945961 3.792288 4.099633
54.545455 3.854229 3.839080 3.869379
55.555556 3.853064 3.837575 3.868553
56.565657 3.853088 3.837611 3.868566
57.575758 3.849758 3.834365 3.865151
58.585859 3.824657 3.783680 3.865635
59.595960 3.770172 3.577069 3.963275
60.606061 4.319385 3.898926 4.739843
61.616162 6.029141 3.449508 8.608774
62.626263 6.931686 2.515524 11.347848
63.636364 7.993774 3.248766 12.738782
64.646465 8.674797 3.341409 14.008185
65.656566 8.790131 3.545207 14.035055
66.666667 8.991340 3.903303 14.079376
67.676768 9.596200 4.508544 14.683855
68.686869 9.985197 5.021240 14.949154
69.696970 10.115036 5.273289 14.956784
70.707071 10.445423 5.841675 15.049171
71.717172 10.690528 6.208486 15.172571
72.727273 10.828834 6.379068 15.278600
73.737374 10.998565 6.576649 15.420480
74.747475 11.040731 6.628785 15.452677
75.757576 11.072759 6.666617 15.478900
76.767677 12.086098 9.645249 14.526946
77.777778 12.678790 10.818033 14.539546
78.787879 13.040898 11.189753 14.892044
79.797980 13.303264 11.782055 14.824473
80.808081 13.611354 12.239610 14.983097
81.818182 13.847519 12.595227 15.099811
82.828283 14.205726 12.969756 15.441696
83.838384 14.491914 13.587724 15.396105
84.848485 14.673187 13.867969 15.478405
85.858586 14.898362 14.256204 15.540520
86.868687 15.255304 14.520328 15.990279
87.878788 15.782110 15.121020 16.443200
88.888889 16.152938 15.633292 16.672584
89.898990 16.316123 15.797288 16.834958
90.909091 16.239840 15.634878 16.844802
91.919192 16.193134 15.482553 16.903714
92.929293 12.961061 4.600074 21.322047
93.939394 9.442772 0.000000 19.379025
94.949495 0.000009 0.000000 0.000031
95.959596 0.000000 0.000000 0.000000
96.969697 0.000000 0.000000 0.000000
97.979798 0.021307 0.000000 0.043670
98.989899 0.021307 0.000000 0.043670
100.000000 0.035511 0.035510 0.035511
