# fraction_pct mean ci_low ci_high
0.000000 0.336892 0.000000 0.870946
1.010101 4.599956 2.290757 6.909154
2.020202 8.278828 6.319668 10.237987
3.030303 10.250846 9.781151 10.720540
4.040404 12.514245 11.974628 13.053861
5.050505 14.832133 14.237355 15.426912
6.060606 16.560533 16.232599 16.888467
7.070707 17.983440 17.912011 18.054868
8.080808 17.483896 17.143114 17.824679
9.090909 17.012032 16.262093 17.761970
10.101010 17.352574 16.952575 17.752573
11.111111 17.707275 17.305869 18.108681
12.121212 17.713054 17.309470 18.116638
13.131313 17.467724 16.546274 18.389173
14.141414 16.504779 15.256693 17.752865
15.151515 16.578263 15.411075 17.745450
16.161616 16.342080 15.190885 17.493275
17.171717 16.651027 15.700307 17.601746
18.181818 16.948058 16.141450 17.754667
19.191919 17.066663 16.235897 17.897429
20.202020 16.268611 14.737362 17.799860
21.212121 16.646720 15.406017 17.887424
22.222222 16.872866 15.757761 17.987972
23.232323 16.789772 15.956201 17.623343
24.242424 17.179934 16.310716 18.049152
25.252525 17.285370 16.394029 18.176711
26.262626 17.291918 16.395916 18.187920
27.272727 17.302099 16.402032 18.202166
28.282828 16.506956 15.854625 17.159287
29.292929 15.949928 15.794909 16.104948
30.303030 15.985435 15.126213 16.844657
31.313131 15.720569 14.869918 16.571220
32.323232 15.756167 15.378697 16.133637
33.333333 15.634213 15.462786 15.805640
34.343434 15.888284 15.610702 16.165867
35.353535 16.025335 15.778631 16.272039
36.363636 16.208627 15.858852 16.558401
37.373737 16.343455 15.965807 16.721104
38.383838 16.609895 16.086081 17.133709
39.393939 16.885891 16.369194 17.402587
40.404040 17.226481 16.830030 17.622933
41.414141 17.534298 17.149709 17.918887
42.424242 17.564908 17.183095 17.946721
43.434343 17.580692 17.188780 17.972605
44.444444 17.599761 17.192413 18.007109
45.454545 17.617750 17.208704 18.026796
46.464646 17.627512 17.225744 18.029280
47.474747 16.720820 15.761033 17.680607
48.484848 15.825643 15.221066 16.430220
49.494949 13.559230 13.178467 13.939993
50.505051 13.622385 13.192379 14.052391
51.515152 13.303007 12.732830 13.873184
52.525253 13.791224 13.451523 14.130924
53.535354 14.165596 13.074809 15.256382
54.545455 15.669730 14.873448 16.466012
55.555556 17.184567 16.692924 17.676209
56.565657 16.295417 15.510346 17.080489
57.575758 15.474099 14.559594 16.388604
58.585859 17.088383 16.149939 18.026827
59.595960 17.731910 17.338224 18.125596
60.606061 17.762483 17.365782 18.159183
61.616162 17.768167 17.366679 18.169656
62.626263 17.775584 17.366220 18.184948
63.636364 17.781132 17.366902 18.195363
64.646465 17.791570 17.370996 18.212143
65.656566 17.787476 17.359764 18.215188
66.666667 17.803645 17.403149 18.204141
67.676768 17.793774 17.366508 18.221039
68.686869 17.797069 17.373228 18.220910
69.696970 17.796162 17.371404 18.220920
70.707071 17.797152 17.373943 18.220361
71.717172 17.798307 17.376348 18.220266
72.727273 17.799199 17.378303 18.220094
73.737374 17.798270 17.376591 18.219948
74.747475 17.798387 17.376866 18.219908
75.757576 17.799070 17.378465 18.219675
76.767677 17.803660 17.380340 18.226981
77.777778 17.806678 17.392645 18.220711
78.787879 17.811398 17.385547 18.237249
79.797980 17.816901 17.399833 18.233969
80.808081 17.798336 17.346106 18.250567
81.818182 17.829671 17.425451 18.233891
82.828283 17.830146 17.430499 18.229793
83.838384 17.831486 17.433075 18.229898
84.848485 17.834543 17.436496 18.232590
85.858586 17.838878 17.440306 18.237450
86.868687 17.844312 17.448432 18.240192
87.878788 17.853425 17.449988 18.256862
88.888889 17.861977 17.460474 18.263481
89.898990 16.771737 15.076618 18.466856
90.909091 15.481310 13.700786 17.261834
91.919192 16.272844 14.370486 18.175203
92.929293 16.701099 14.468449 18.933749
93.939394 15.791430 11.685544 19.897316
94.949495 12.522695 11.106994 13.938397
95.959596 12.755394 11.343055 14.167734
96.969697 11.790461 9.302121 14.278801
97.979798 3.767897 0.000000 9.700111
98.989899 3.767897 0.000000 9.700111
100.000000 0.000000 0.000000 0.000000
