# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.009164 0.009164 0.009164
2.020202 0.009164 0.009164 0.009164
3.030303 0.140372 0.132467 0.148278
4.040404 0.157710 0.147796 0.167624
5.050505 0.166657 0.152745 0.180568
6.060606 0.171027 0.158401 0.183653
7.070707 0.177719 0.174337 0.181101
8.080808 0.177897 0.174798 0.180996
9.090909 0.178744 0.176385 0.181104
10.101010 0.178890 0.176476 0.181304
11.111111 0.179650 0.179171 0.180130
12.121212 0.179885 0.179676 0.180093
13.131313 0.179885 0.179676 0.180093
14.141414 0.179885 0.179676 0.180093
15.151515 0.179885 0.179676 0.180093
16.161616 0.179885 0.179676 0.180093
17.171717 0.281570 0.023081 0.540059
18.181818 0.250667 0.071778 0.429556
19.191919 0.181735 0.178908 0.184563
20.202020 0.182660 0.179921 0.185400
21.212121 0.183583 0.181267 0.185900
22.222222 0.247698 0.082109 0.413287
23.232323 0.183583 0.181267 0.185900
24.242424 0.200624 0.156023 0.245224
25.252525 0.298596 0.002155 0.595036
26.262626 0.225418 0.117103 0.333734
27.272727 0.183583 0.181267 0.185900
28.282828 0.231458 0.107617 0.355299
29.292929 0.247425 0.082538 0.412311
30.303030 0.183583 0.181267 0.185900
31.313131 0.183583 0.181267 0.185900
32.323232 0.183583 0.181267 0.185900
33.333333 0.183583 0.181267 0.185900
34.343434 0.183583 0.181267 0.185900
35.353535 0.184508 0.184303 0.184714
36.363636 0.184508 0.184303 0.184714
37.373737 0.184508 0.184303 0.184714
38.383838 0.184508 0.184303 0.184714
39.393939 0.184508 0.184303 0.184714
40.404040 0.184508 0.184303 0.184714
41.414141 0.184508 0.184303 0.184714
42.424242 0.184508 0.184303 0.184714
43.434343 0.184508 0.184303 0.184714
44.444444 0.200860 0.175031 0.226689
45.454545 0.178124 0.132429 0.223818
46.464646 0.178124 0.132429 0.223818
47.474747 0.180666 0.140794 0.220538
48.484848 0.181637 0.143928 0.219346
49.494949 0.181637 0.143928 0.219346
50.505051 0.182576 0.146916 0.218236
51.515152 0.182653 0.147158 0.218148
52.525253 0.182653 0.147158 0.218148
53.535354 0.182653 0.147158 0.218148
54.545455 0.182653 0.147158 0.218148
55.555556 0.182653 0.147158 0.218148
56.565657 0.183367 0.149396 0.217338
57.575758 0.230240 0.135623 0.324857
58.585859 0.183367 0.149396 0.217338
59.595960 0.281056 0.056958 0.505154
60.606061 0.183367 0.149396 0.217338
61.616162 0.183367 0.149396 0.217338
62.626263 0.193633 0.174194 0.213072
63.636364 0.183367 0.149396 0.217338
64.646465 0.183367 0.149396 0.217338
65.656566 0.183367 0.149396 0.217338
66.666667 0.183367 0.149396 0.217338
67.676768 0.183367 0.149396 0.217338
68.686869 0.183367 0.149396 0.217338
69.696970 0.211087 0.164130 0.258043
70.707071 0.148617 0.074293 0.222940
71.717172 0.122275 0.100009 0.144540
72.727273 0.109905 0.081837 0.137972
73.737374 0.120981 0.094832 0.147131
74.747475 0.120981 0.094832 0.147131
75.757576 0.124040 0.099053 0.149026
76.767677 0.126077 0.099944 0.152209
77.777778 0.126077 0.099944 0.152209
78.787879 0.126586 0.101763 0.151409
79.797980 0.126586 0.101763 0.151409
80.808081 0.126586 0.101763 0.151409
81.818182 0.128418 0.102365 0.154472
82.828283 0.173786 0.088582 0.258990
83.838384 0.222669 0.048944 0.396393
84.848485 0.395809 0.136627 0.654992
85.858586 0.143283 0.046487 0.240079
86.868687 0.119225 0.066257 0.172193
87.878788 0.123266 0.070413 0.176118
88.888889 0.120590 0.071132 0.170049
89.898990 0.120590 0.071132 0.170049
90.909091 0.115740 0.053811 0.177669
91.919192 0.117030 0.058418 0.175642
92.929293 0.115290 0.052206 0.178375
93.939394 0.114313 0.048715 0.179910
94.949495 0.071570 0.029369 0.113770
95.959596 0.005791 0.004341 0.007241
96.969697 0.005130 0.005110 0.005149
97.979798 0.005122 0.005115 0.005130
98.989899 0.005559 0.002956 0.008161
100.000000 0.003111 0.003093 0.003129
