# fraction_pct mean ci_low ci_high
0.000000 0.035162 0.018698 0.051625
1.010101 1.390284 1.336882 1.443687
2.020202 2.699440 2.623576 2.775305
3.030303 2.708027 2.629873 2.786182
4.040404 2.887150 2.712902 3.061398
5.050505 2.983528 2.820649 3.146407
6.060606 3.036430 2.887474 3.185386
7.070707 3.123973 2.880997 3.366950
8.080808 3.138987 2.873252 3.404722
9.090909 3.207344 2.927893 3.486795
10.101010 3.214526 2.950192 3.478861
11.111111 3.305865 2.992124 3.619607
12.121212 3.335883 3.026023 3.645743
13.131313 3.404754 3.139430 3.670077
14.141414 3.495655 3.182050 3.809260
15.151515 3.555223 3.224155 3.886290
16.161616 3.567240 3.242311 3.892168
17.171717 3.601188 3.304247 3.898130
18.181818 3.606635 3.305292 3.907977
19.191919 3.613392 3.314871 3.911914
20.202020 3.616996 3.315147 3.918846
21.212121 3.617194 3.316110 3.918278
22.222222 3.623177 3.322448 3.923906
23.232323 3.623306 3.322666 3.923947
24.242424 3.624059 3.323714 3.924404
25.252525 3.624072 3.323732 3.924412
26.262626 3.624092 3.323759 3.924424
27.272727 3.628949 3.320423 3.937475
28.282828 3.628950 3.320424 3.937475
29.292929 3.628950 3.320424 3.937475
30.303030 3.628951 3.320426 3.937475
31.313131 3.628951 3.320426 3.937475
32.323232 3.628954 3.320431 3.937478
33.333333 3.628962 3.320442 3.937482
34.343434 3.629622 3.322499 3.936744
35.353535 3.630243 3.323063 3.937423
36.363636 3.661211 3.326122 3.996300
37.373737 3.681077 3.347497 4.014658
38.383838 3.725885 3.399320 4.052451
39.393939 3.769711 3.440285 4.099137
40.404040 3.800021 3.462448 4.137594
41.414141 3.835929 3.494900 4.176958
42.424242 3.841343 3.498466 4.184219
43.434343 3.842360 3.500406 4.184315
44.444444 3.842930 3.502179 4.183681
45.454545 3.841505 3.500032 4.182978
46.464646 3.841505 3.500032 4.182978
47.474747 3.842523 3.501569 4.183476
48.484848 3.841883 3.500605 4.183160
49.494949 3.841883 3.500605 4.183160
50.505051 3.841841 3.500542 4.183140
51.515152 3.841915 3.500654 4.183176
52.525253 3.841915 3.500654 4.183176
53.535354 3.841915 3.500654 4.183176
54.545455 3.841915 3.500654 4.183176
55.555556 3.841915 3.500654 4.183176
56.565657 3.841817 3.500505 4.183128
57.575758 3.841822 3.500514 4.183131
58.585859 3.841902 3.500635 4.183170
59.595960 3.841902 3.500635 4.183170
60.606061 3.841913 3.500651 4.183175
61.616162 3.841913 3.500651 4.183175
62.626263 3.841913 3.500651 4.183175
63.636364 3.841913 3.500651 4.183175
64.646465 3.841935 3.500684 4.183186
65.656566 3.841985 3.500759 4.183210
66.666667 3.853849 3.491223 4.216475
67.676768 3.854385 3.492085 4.216686
68.686869 3.857847 3.493484 4.222209
69.696970 3.857538 3.493089 4.221987
70.707071 3.854104 3.488782 4.219426
71.717172 3.864487 3.485959 4.243015
72.727273 3.872292 3.491873 4.252710
73.737374 3.870720 3.491421 4.250019
74.747475 3.871281 3.492104 4.250458
75.757576 3.872405 3.493909 4.250900
76.767677 3.872935 3.493781 4.252089
77.777778 3.873175 3.493995 4.252355
78.787879 3.872887 3.493535 4.252239
79.797980 3.872910 3.493571 4.252248
80.808081 3.872910 3.493571 4.252248
81.818182 3.873595 3.494717 4.252472
82.828283 3.872769 3.492049 4.253489
83.838384 3.872907 3.492293 4.253522
84.848485 3.873030 3.492567 4.253494
85.858586 3.873480 3.493305 4.253654
86.868687 3.873790 3.493798 4.253782
87.878788 3.873806 3.493822 4.253790
88.888889 3.874047 3.494205 4.253889
89.898990 3.874065 3.494197 4.253932
90.909091 3.873495 3.493014 4.253976
91.919192 3.874494 3.494498 4.254490
92.929293 3.873849 3.493474 4.254224
93.939394 3.874303 3.494195 4.254411
94.949495 3.874373 3.494327 4.254419
95.959596 3.875101 3.495573 4.254630
96.969697 3.875968 3.497255 4.254681
97.979798 3.875397 3.497010 4.253783
98.989899 3.013176 1.059129 4.967223
100.000000 0.000000 0.000000 0.000000
