# fraction_pct mean ci_low ci_high
0.000000 0.001196 0.000092 0.002299
1.010101 10.183587 10.044850 10.322324
2.020202 10.010306 9.543314 10.477299
3.030303 9.940835 9.569271 10.312399
4.040404 10.465321 10.358648 10.571994
5.050505 10.589999 10.377228 10.802770
6.060606 10.687305 10.459888 10.914721
7.070707 10.606809 10.474920 10.738699
8.080808 10.566718 10.336302 10.797134
9.090909 10.676395 10.579128 10.773662
10.101010 10.576827 10.443896 10.709758
11.111111 10.536385 10.381425 10.691345
12.121212 10.575586 10.443133 10.708039
13.131313 10.587240 10.447461 10.727020
14.141414 10.582297 10.446382 10.718213
15.151515 10.551698 10.415841 10.687555
16.161616 10.593965 10.379396 10.808534
17.171717 10.545265 10.329510 10.761019
18.181818 10.416361 10.190432 10.642289
19.191919 10.332880 10.154633 10.511127
20.202020 10.269471 10.117328 10.421614
21.212121 10.218493 10.096172 10.340814
22.222222 10.205076 10.077743 10.332408
23.232323 10.178745 10.049356 10.308135
24.242424 10.191909 10.035389 10.348429
25.252525 10.986295 9.804968 12.167622
26.262626 13.709330 13.262501 14.156160
27.272727 14.678267 13.630707 15.725827
28.282828 15.218542 14.179591 16.257493
29.292929 13.157896 12.607058 13.708734
30.303030 13.982976 13.501193 14.464758
31.313131 14.743685 13.197693 16.289676
32.323232 14.777119 13.244901 16.309338
33.333333 16.820897 14.868737 18.773056
34.343434 15.967327 13.972943 17.961710
35.353535 15.315252 13.626486 17.004018
36.363636 15.880923 14.742538 17.019308
37.373737 15.753409 14.558428 16.948390
38.383838 15.805264 14.635379 16.975148
39.393939 15.977876 14.844343 17.111410
40.404040 15.542160 15.239382 15.844938
41.414141 17.091104 15.452343 18.729864
42.424242 17.342465 15.858171 18.826758
43.434343 17.300203 15.417579 19.182826
44.444444 15.059343 12.158630 17.960056
45.454545 12.893462 11.555554 14.231371
46.464646 12.473316 11.063474 13.883158
47.474747 12.722283 12.247510 13.197056
48.484848 13.574781 10.909316 16.240246
49.494949 14.359383 11.414675 17.304091
50.505051 13.619996 10.990157 16.249835
51.515152 15.363940 12.905014 17.822867
52.525253 13.152217 10.960280 15.344154
53.535354 13.756707 10.993659 16.519755
54.545455 13.547466 11.296585 15.798348
55.555556 13.471708 12.263236 14.680180
56.565657 13.362834 12.066734 14.658935
57.575758 13.838269 12.384023 15.292515
58.585859 11.604017 10.382266 12.825767
59.595960 12.825448 12.590753 13.060142
60.606061 12.901702 12.170168 13.633235
61.616162 12.584391 12.212448 12.956334
62.626263 13.766570 11.877982 15.655158
63.636364 12.791782 12.368015 13.215549
64.646465 13.300706 11.918943 14.682468
65.656566 13.210820 11.770307 14.651333
66.666667 13.222553 11.788684 14.656423
67.676768 13.091723 11.992838 14.190609
68.686869 12.778817 12.546834 13.010801
69.696970 13.540667 11.978358 15.102975
70.707071 12.848772 12.573108 13.124436
71.717172 12.917862 12.751414 13.084310
72.727273 13.237680 12.230540 14.244821
73.737374 12.816484 12.488217 13.144750
74.747475 12.780263 12.558380 13.002146
75.757576 12.861140 12.599669 13.122612
76.767677 14.574445 11.967374 17.181517
77.777778 13.275116 12.192466 14.357766
78.787879 13.284355 11.986221 14.582490
79.797980 13.491357 10.716877 16.265836
80.808081 13.009703 12.217902 13.801504
81.818182 12.826033 12.208689 13.443377
82.828283 12.865533 11.857960 13.873106
83.838384 12.838762 11.831742 13.845782
84.848485 12.658572 12.050182 13.266963
85.858586 12.669063 12.061817 13.276309
86.868687 12.770155 12.155990 13.384319
87.878788 13.152608 12.250796 14.054420
88.888889 12.843495 12.053618 13.633372
89.898990 12.801721 11.997162 13.606280
90.909091 13.427438 12.264413 14.590463
91.919192 12.818696 12.029452 13.607941
92.929293 13.005464 12.065132 13.945796
93.939394 13.298521 12.288054 14.308988
94.949495 13.339041 12.647998 14.030084
95.959596 13.146775 12.228206 14.065345
96.969697 12.689851 12.061440 13.318262
97.979798 12.342214 11.855065 12.829363
98.989899 12.849234 12.074810 13.623658
100.000000 2.378663 0.000000 8.494207
