# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000001
2.020202 0.000000 0.000000 0.000001
3.030303 0.000000 0.000000 0.000001
4.040404 0.000000 0.000000 0.000001
5.050505 0.000000 0.000000 0.000001
6.060606 0.000000 0.000000 0.000001
7.070707 0.000000 0.000000 0.000001
8.080808 0.000000 0.000000 0.000001
9.090909 0.000000 0.000000 0.000001
10.101010 0.000000 0.000000 0.000001
11.111111 0.000000 0.000000 0.000001
12.121212 0.000000 0.000000 0.000001
13.131313 1.523283 0.300866 2.745700
14.141414 3.910233 3.864429 3.956037
15.151515 3.945594 3.943480 3.947708
16.161616 4.169945 3.812588 4.527302
17.171717 5.507172 5.059957 5.954388
18.181818 5.752245 5.746503 5.757988
19.191919 5.793204 5.692306 5.894101
20.202020 3.590332 0.871441 6.309223
21.212121 4.373927 2.860266 5.887588
22.222222 4.756522 3.707833 5.805211
23.232323 4.783726 3.723485 5.843966
24.242424 4.577097 2.802160 6.352035
25.252525 3.111331 1.195952 5.026710
26.262626 2.957978 0.927275 4.988682
27.272727 3.070467 1.205493 4.935441
28.282828 3.181373 1.434914 4.927833
29.292929 3.285319 1.628849 4.941790
30.303030 3.493952 2.140496 4.847409
31.313131 3.775621 2.641402 4.909840
32.323232 3.989183 3.107636 4.870730
33.333333 4.102889 3.474028 4.731751
34.343434 4.205773 3.818251 4.593295
35.353535 4.296067 4.058035 4.534099
36.363636 4.336339 4.078240 4.594438
37.373737 4.367796 4.149643 4.585949
38.383838 4.377494 4.149062 4.605927
39.393939 4.425602 4.140675 4.710530
40.404040 4.439570 4.136038 4.743102
41.414141 4.369956 4.149620 4.590292
42.424242 4.369956 4.149620 4.590292
43.434343 4.369956 4.149620 4.590292
44.444444 4.369956 4.149620 4.590292
45.454545 4.369956 4.149620 4.590292
46.464646 4.369956 4.149620 4.590292
47.474747 4.369956 4.149620 4.590292
48.484848 4.386096 4.146285 4.625906
49.494949 4.399127 4.139787 4.658467
50.505051 4.369934 4.150630 4.589238
51.515152 4.399014 4.193609 4.604419
52.525253 4.444319 4.209223 4.679415
53.535354 4.419918 4.208130 4.631706
54.545455 4.422937 4.209061 4.636813
55.555556 4.442981 4.228496 4.657467
56.565657 4.423552 4.226249 4.620855
57.575758 4.423552 4.226249 4.620855
58.585859 4.423552 4.226249 4.620855
59.595960 4.434001 4.228785 4.639216
60.606061 4.419515 4.224362 4.614668
61.616162 4.419515 4.224362 4.614668
62.626263 4.425088 4.226830 4.623346
63.636364 4.454605 4.319056 4.590154
64.646465 4.449938 4.284972 4.614905
65.656566 4.492968 4.306139 4.679797
66.666667 4.411751 4.291528 4.531973
67.676768 4.414285 4.294317 4.534253
68.686869 4.406034 4.284755 4.527312
69.696970 4.406127 4.284871 4.527384
70.707071 4.423756 4.298285 4.549227
71.717172 4.423756 4.298285 4.549227
72.727273 4.423756 4.298285 4.549227
73.737374 4.446586 4.287310 4.605861
74.747475 4.448659 4.285613 4.611705
75.757576 4.423209 4.298322 4.548095
76.767677 4.438973 4.348994 4.528952
77.777778 4.453985 4.390678 4.517292
78.787879 4.473719 4.417455 4.529983
79.797980 4.476118 4.417506 4.534730
80.808081 4.496210 4.403038 4.589381
81.818182 4.472108 4.417088 4.527128
82.828283 4.472108 4.417088 4.527128
83.838384 4.472108 4.417088 4.527128
84.848485 4.487364 4.411774 4.562954
85.858586 4.468071 4.414863 4.521280
86.868687 4.468071 4.414863 4.521280
87.878788 4.478896 4.416907 4.540885
88.888889 4.462574 4.400907 4.524242
89.898990 4.510192 4.380012 4.640373
90.909091 4.545630 4.411562 4.679698
91.919192 4.455801 4.390715 4.520886
92.929293 4.457070 4.393641 4.520499
93.939394 4.452942 4.383709 4.522175
94.949495 4.461513 4.402808 4.520219
95.959596 4.461095 4.415547 4.506642
96.969697 4.381680 4.381679 4.381682
97.979798 4.432697 4.424142 4.441251
98.989899 3.292578 2.056912 4.528244
100.000000 0.132265 0.132244 0.132287
