# fraction_pct mean ci_low ci_high
0.000000 0.001841 0.001311 0.002371
1.010101 2.387667 2.347542 2.427793
2.020202 4.749804 4.676876 4.822733
3.030303 6.905980 6.869099 6.942861
4.040404 7.626322 7.483355 7.769289
5.050505 7.839239 7.632127 8.046350
6.060606 8.014300 7.774370 8.254230
7.070707 8.135363 7.916810 8.353917
8.080808 8.365710 8.168897 8.562523
9.090909 8.623852 8.453144 8.794559
10.101010 8.958683 8.810746 9.106619
11.111111 9.340558 9.249991 9.431125
12.121212 9.721109 9.625698 9.816520
13.131313 9.969982 9.889805 10.050159
14.141414 9.996679 9.923732 10.069625
15.151515 9.998404 9.924860 10.071948
16.161616 10.002897 9.926735 10.079059
17.171717 10.014048 9.947965 10.080131
18.181818 10.024836 9.951072 10.098599
19.191919 10.047296 9.975353 10.119240
20.202020 10.062530 9.993311 10.131749
21.212121 10.072096 10.000715 10.143476
22.222222 10.079640 10.011639 10.147641
23.232323 10.093455 10.019809 10.167102
24.242424 10.100175 10.028647 10.171704
25.252525 10.101865 10.031320 10.172409
26.262626 10.103445 10.030628 10.176262
27.272727 10.103536 10.030787 10.176284
28.282828 10.105468 10.035442 10.175494
29.292929 10.105481 10.035465 10.175496
30.303030 10.105528 10.035513 10.175543
31.313131 10.104803 10.033570 10.176037
32.323232 10.106068 10.036278 10.175857
33.333333 10.107635 10.036854 10.178415
34.343434 10.108800 10.037978 10.179622
35.353535 10.112717 10.037489 10.187945
36.363636 10.113228 10.040892 10.185564
37.373737 10.115372 10.042856 10.187888
38.383838 10.116512 10.045424 10.187601
39.393939 10.116000 10.044097 10.187902
40.404040 10.117803 10.047775 10.187831
41.414141 10.118525 10.049156 10.187894
42.424242 10.118542 10.049169 10.187915
43.434343 10.118547 10.049181 10.187912
44.444444 10.118557 10.049195 10.187920
45.454545 10.119425 10.050046 10.188804
46.464646 10.119446 10.050064 10.188828
47.474747 10.119451 10.050068 10.188834
48.484848 10.121497 10.055079 10.187914
49.494949 10.120040 10.051472 10.188608
50.505051 10.120103 10.051523 10.188682
51.515152 10.121866 10.050166 10.193565
52.525253 10.121958 10.050345 10.193571
53.535354 10.122040 10.050468 10.193612
54.545455 10.122836 10.052414 10.193257
55.555556 10.122290 10.050773 10.193806
56.565657 10.122361 10.050856 10.193865
57.575758 10.123162 10.050478 10.195847
58.585859 10.123169 10.050484 10.195855
59.595960 10.122718 10.049347 10.196090
60.606061 10.122720 10.049348 10.196091
61.616162 10.122869 10.049721 10.196017
62.626263 10.123379 10.050856 10.195903
63.636364 10.124939 10.052094 10.197784
64.646465 10.123598 10.050608 10.196588
65.656566 10.123805 10.050666 10.196944
66.666667 10.123911 10.050767 10.197055
67.676768 10.125065 10.053339 10.196792
68.686869 10.125100 10.053398 10.196801
69.696970 10.125134 10.053484 10.196784
70.707071 10.125306 10.053893 10.196719
71.717172 10.125306 10.053893 10.196719
72.727273 10.125306 10.053893 10.196719
73.737374 10.125661 10.054170 10.197152
74.747475 10.125583 10.054111 10.197056
75.757576 10.125608 10.054128 10.197087
76.767677 10.127724 10.056105 10.199344
77.777778 10.125904 10.054427 10.197380
78.787879 10.125975 10.054492 10.197457
79.797980 10.126018 10.054527 10.197510
80.808081 10.126281 10.054727 10.197835
81.818182 10.126281 10.054727 10.197835
82.828283 10.126282 10.054728 10.197836
83.838384 10.126678 10.055017 10.198340
84.848485 10.125562 10.054170 10.196954
85.858586 10.126211 10.054793 10.197629
86.868687 10.126213 10.054795 10.197632
87.878788 10.126135 10.054730 10.197540
88.888889 10.126765 10.053951 10.199578
89.898990 10.127046 10.055454 10.198638
90.909091 10.126369 10.054534 10.198203
91.919192 10.126589 10.054313 10.198866
92.929293 10.127303 10.054894 10.199711
93.939394 10.127305 10.054895 10.199716
94.949495 10.127683 10.055644 10.199722
95.959596 10.127885 10.055007 10.200763
96.969697 10.128773 10.054745 10.202802
97.979798 10.129744 10.055680 10.203809
98.989899 10.138161 10.060873 10.215449
100.000000 0.000000 0.000000 0.000000
