# fraction_pct mean ci_low ci_high
0.000000 0.002748 0.001218 0.004278
1.010101 1.111864 1.062915 1.160812
2.020202 2.174653 2.079403 2.269903
3.030303 3.234712 3.091482 3.377942
4.040404 4.285732 4.107217 4.464247
5.050505 4.869330 4.655571 5.083089
6.060606 5.098004 4.942003 5.254005
7.070707 5.197558 5.092489 5.302627
8.080808 5.218039 5.115050 5.321027
9.090909 5.227820 5.123430 5.332210
10.101010 5.241004 5.149036 5.332971
11.111111 5.249139 5.161361 5.336916
12.121212 5.251827 5.165762 5.337892
13.131313 5.253777 5.167417 5.340137
14.141414 5.255520 5.167690 5.343351
15.151515 5.256603 5.167645 5.345562
16.161616 5.259367 5.169283 5.349450
17.171717 5.261601 5.169540 5.353662
18.181818 5.265745 5.173022 5.358469
19.191919 5.269594 5.181428 5.357760
20.202020 5.269680 5.181457 5.357903
21.212121 5.269680 5.181457 5.357903
22.222222 5.269680 5.181457 5.357903
23.232323 5.269692 5.181461 5.357923
24.242424 5.269700 5.181463 5.357937
25.252525 5.271325 5.186527 5.356122
26.262626 5.272077 5.186845 5.357309
27.272727 5.273118 5.188918 5.357318
28.282828 5.281814 5.194060 5.369568
29.292929 5.293988 5.203462 5.384515
30.303030 5.300834 5.212651 5.389017
31.313131 5.311512 5.220652 5.402372
32.323232 5.319509 5.228515 5.410503
33.333333 5.324378 5.236435 5.412320
34.343434 5.327552 5.236617 5.418487
35.353535 5.329793 5.238202 5.421384
36.363636 5.332032 5.243958 5.420106
37.373737 5.332151 5.243964 5.420339
38.383838 5.332153 5.243964 5.420343
39.393939 5.332166 5.243970 5.420363
40.404040 5.332181 5.243985 5.420377
41.414141 5.332184 5.243987 5.420382
42.424242 5.332247 5.243987 5.420506
43.434343 5.332393 5.243992 5.420795
44.444444 5.332310 5.244018 5.420603
45.454545 5.332268 5.243878 5.420658
46.464646 5.332357 5.243893 5.420821
47.474747 5.334472 5.244075 5.424869
48.484848 5.333551 5.244903 5.422199
49.494949 5.334400 5.246158 5.422642
50.505051 5.335008 5.247301 5.422715
51.515152 5.336509 5.248931 5.424087
52.525253 5.337386 5.249162 5.425610
53.535354 5.339684 5.249252 5.430115
54.545455 5.339937 5.249557 5.430317
55.555556 5.340062 5.249688 5.430436
56.565657 5.341051 5.252204 5.429898
57.575758 5.340621 5.252257 5.428985
58.585859 5.341225 5.252093 5.430357
59.595960 5.341272 5.252104 5.430440
60.606061 5.343041 5.253597 5.432484
61.616162 5.341222 5.253004 5.429439
62.626263 5.341287 5.253030 5.429544
63.636364 5.341501 5.253297 5.429704
64.646465 5.342607 5.254186 5.431028
65.656566 5.342650 5.254198 5.431102
66.666667 5.342689 5.254207 5.431172
67.676768 5.342569 5.254128 5.431009
68.686869 5.342609 5.254141 5.431077
69.696970 5.343037 5.254370 5.431703
70.707071 5.343113 5.254390 5.431835
71.717172 5.342961 5.253861 5.432060
72.727273 5.342979 5.253856 5.432102
73.737374 5.343503 5.254534 5.432471
74.747475 5.343861 5.255464 5.432257
75.757576 5.343880 5.255696 5.432064
76.767677 5.344057 5.255928 5.432186
77.777778 5.344070 5.255983 5.432157
78.787879 5.344680 5.255787 5.433572
79.797980 5.344629 5.255509 5.433748
80.808081 5.344676 5.255493 5.433859
81.818182 5.345747 5.255703 5.435790
82.828283 5.344928 5.255549 5.434306
83.838384 5.344955 5.255555 5.434354
84.848485 5.344970 5.255558 5.434382
85.858586 5.344604 5.255476 5.433731
86.868687 5.344626 5.255481 5.433771
87.878788 5.344631 5.255482 5.433780
88.888889 5.345036 5.255587 5.434484
89.898990 5.346119 5.258905 5.433333
90.909091 5.346129 5.258934 5.433325
91.919192 5.346911 5.259077 5.434745
92.929293 5.346879 5.258966 5.434793
93.939394 5.346879 5.258966 5.434793
94.949495 5.346773 5.258968 5.434578
95.959596 5.346778 5.258969 5.434587
96.969697 5.346854 5.259028 5.434679
97.979798 5.349007 5.261439 5.436574
98.989899 5.353355 5.266881 5.439830
100.000000 0.000000 0.000000 0.000000
