# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 3.820544 3.820140 3.820947
2.020202 4.273730 3.108589 5.438871
3.030303 12.933584 10.966309 14.900858
4.040404 9.249723 2.753359 15.746088
5.050505 10.302626 7.062396 13.542856
6.060606 12.666046 10.615080 14.717011
7.070707 12.328003 9.697335 14.958671
8.080808 13.401655 10.214059 16.589250
9.090909 18.142472 14.657290 21.627654
10.101010 23.582727 20.325736 26.839718
11.111111 17.215056 11.588804 22.841308
12.121212 22.598669 16.344868 28.852470
13.131313 16.880647 14.477119 19.284175
14.141414 17.013812 15.892805 18.134819
15.151515 18.793885 17.672843 19.914927
16.161616 20.217936 18.387289 22.048583
17.171717 21.909027 20.676696 23.141357
18.181818 22.338345 21.233119 23.443571
19.191919 23.362747 22.599956 24.125538
20.202020 16.711827 16.454638 16.969016
21.212121 20.806742 16.927585 24.685900
22.222222 27.144038 20.598699 33.689377
23.232323 23.657914 20.332174 26.983655
24.242424 28.281711 24.005775 32.557647
25.252525 33.837895 26.597363 41.078427
26.262626 32.683461 26.342047 39.024875
27.272727 32.672626 26.778329 38.566923
28.282828 31.061556 22.797985 39.325128
29.292929 28.296197 21.235584 35.356810
30.303030 29.008198 22.458824 35.557573
31.313131 29.718493 23.457883 35.979103
32.323232 29.495761 23.504486 35.487035
33.333333 31.947067 25.876822 38.017312
34.343434 31.558527 26.498849 36.618204
35.353535 31.039944 26.107301 35.972588
36.363636 32.550251 29.492611 35.607891
37.373737 33.652139 29.934868 37.369410
38.383838 33.889584 29.780664 37.998503
39.393939 33.059035 29.990161 36.127909
40.404040 30.965480 25.391828 36.539133
41.414141 31.575795 27.243224 35.908367
42.424242 31.982672 28.334302 35.631041
43.434343 31.051063 25.661744 36.440381
44.444444 31.556072 27.186691 35.925453
45.454545 32.233683 28.912026 35.555341
46.464646 31.655157 27.467763 35.842551
47.474747 31.853490 27.012980 36.694000
48.484848 32.226683 28.206344 36.247022
49.494949 32.070216 24.732747 39.407686
50.505051 30.605653 22.823787 38.387518
51.515152 27.816774 20.634732 34.998815
52.525253 26.977195 23.821126 30.133264
53.535354 27.355456 24.394161 30.316751
54.545455 27.732600 24.656163 30.809036
55.555556 27.100675 24.040633 30.160718
56.565657 27.796231 24.670988 30.921473
57.575758 27.229576 24.236953 30.222198
58.585859 29.465672 26.299759 32.631586
59.595960 31.708035 26.416859 36.999211
60.606061 29.747746 22.096501 37.398991
61.616162 28.046139 22.488236 33.604043
62.626263 26.806625 20.903627 32.709623
63.636364 29.829340 24.144747 35.513934
64.646465 28.465857 22.478731 34.452983
65.656566 28.249377 21.310776 35.187979
66.666667 27.746588 20.620654 34.872522
67.676768 29.951414 25.048202 34.854625
68.686869 29.386894 24.143135 34.630653
69.696970 28.443195 24.696740 32.189651
70.707071 27.042404 20.716434 33.368373
71.717172 25.307149 19.969314 30.644983
72.727273 25.728338 23.391889 28.064786
73.737374 26.543911 22.574616 30.513205
74.747475 26.840397 22.184463 31.496331
75.757576 25.612271 23.442374 27.782168
76.767677 24.208393 21.088304 27.328482
77.777778 25.060729 23.169739 26.951718
78.787879 25.407118 23.453292 27.360944
79.797980 26.609060 22.491165 30.726954
80.808081 25.637796 20.730824 30.544768
81.818182 23.454784 20.494670 26.414897
82.828283 22.859101 19.383610 26.334593
83.838384 24.906045 23.054890 26.757200
84.848485 27.677038 22.805039 32.549036
85.858586 24.643056 19.473168 29.812945
86.868687 22.693498 19.369259 26.017738
87.878788 21.614405 18.577800 24.651010
88.888889 25.202819 23.390808 27.014829
89.898990 28.443253 23.653983 33.232523
90.909091 29.257991 23.694783 34.821199
91.919192 26.161714 23.473909 28.849519
92.929293 21.600792 18.551608 24.649975
93.939394 25.214184 23.394927 27.033442
94.949495 29.215975 24.754510 33.677441
95.959596 30.165113 24.971950 35.358277
96.969697 24.968001 20.300592 29.635411
97.979798 14.530480 3.189883 25.871078
98.989899 3.759372 3.633384 3.885360
100.000000 3.570704 3.569916 3.571493
