# fraction_pct mean ci_low ci_high
0.000000 0.000989 0.000000 0.002034
1.010101 10.008162 9.793524 10.222800
2.020202 10.281061 9.703957 10.858166
3.030303 11.018041 10.431666 11.604415
4.040404 4.964400 1.062680 8.866119
5.050505 4.129554 3.267679 4.991428
6.060606 6.675018 2.442672 10.907364
7.070707 12.522926 8.080539 16.965314
8.080808 14.623694 12.552189 16.695198
9.090909 15.688524 14.401026 16.976021
10.101010 12.868284 11.165247 14.571322
11.111111 8.899148 6.932560 10.865736
12.121212 9.095564 8.569658 9.621470
13.131313 14.181267 9.986649 18.375885
14.141414 20.128201 15.534166 24.722237
15.151515 23.889669 22.988345 24.790994
16.161616 24.467887 23.466326 25.469447
17.171717 24.201172 23.455495 24.946849
18.181818 24.074747 23.390085 24.759410
19.191919 24.025122 23.107948 24.942295
20.202020 19.564810 17.252541 21.877078
21.212121 16.533603 13.521726 19.545480
22.222222 17.101760 14.324470 19.879050
23.232323 16.139753 15.064108 17.215397
24.242424 16.172767 15.370219 16.975314
25.252525 16.683953 16.109004 17.258903
26.262626 16.532079 15.664733 17.399426
27.272727 16.196046 14.950884 17.441209
28.282828 15.743355 14.995055 16.491655
29.292929 17.416494 15.236026 19.596962
30.303030 16.904109 14.785137 19.023081
31.313131 17.379314 15.166314 19.592313
32.323232 16.825111 14.669531 18.980692
33.333333 16.303584 15.312336 17.294832
34.343434 16.333794 15.448806 17.218782
35.353535 16.320565 15.552607 17.088524
36.363636 16.394341 15.596999 17.191683
37.373737 16.404226 15.616831 17.191620
38.383838 16.424760 15.655753 17.193767
39.393939 16.321345 15.431313 17.211378
40.404040 16.454245 15.705896 17.202594
41.414141 16.467358 15.725888 17.208828
42.424242 16.463697 15.720454 17.206940
43.434343 16.379836 15.566679 17.192994
44.444444 16.338940 15.474061 17.203819
45.454545 16.356968 15.516117 17.197819
46.464646 16.356718 15.515547 17.197890
47.474747 16.352308 15.610435 17.094181
48.484848 16.353004 15.613631 17.092378
49.494949 17.661397 14.902385 20.420408
50.505051 18.511526 16.134906 20.888145
51.515152 18.251577 15.817256 20.685899
52.525253 18.479741 16.801579 20.157902
53.535354 18.281623 17.017727 19.545520
54.545455 18.307030 16.993741 19.620318
55.555556 17.886942 17.040812 18.733072
56.565657 17.891960 17.046845 18.737075
57.575758 17.901823 17.058133 18.745514
58.585859 17.902223 17.072944 18.731503
59.595960 17.968691 17.028600 18.908783
60.606061 17.926337 17.046376 18.806299
61.616162 17.921726 17.041273 18.802179
62.626263 17.242206 15.248299 19.236113
63.636364 18.209805 17.078201 19.341408
64.646465 18.028930 17.130750 18.927109
65.656566 17.629160 16.556924 18.701396
66.666667 17.709280 16.740824 18.677736
67.676768 17.585113 16.484010 18.686217
68.686869 17.590411 16.485454 18.695369
69.696970 17.495691 16.245336 18.746046
70.707071 17.451235 16.130194 18.772276
71.717172 17.558780 16.424757 18.692803
72.727273 17.576620 16.468161 18.685079
73.737374 17.576438 16.467701 18.685174
74.747475 17.577627 16.470696 18.684557
75.757576 17.504528 16.277337 18.731718
76.767677 17.499614 16.263733 18.735494
77.777778 17.558118 16.420886 18.695350
78.787879 17.552544 16.406399 18.698690
79.797980 17.550663 16.401484 18.699842
80.808081 17.572233 16.359939 18.784526
81.818182 17.528613 16.307044 18.750183
82.828283 17.549370 16.377473 18.721266
83.838384 17.564886 16.355311 18.774461
84.848485 17.561500 16.345295 18.777704
85.858586 17.549477 16.315715 18.783238
86.868687 17.529435 16.305035 18.753834
87.878788 17.548125 16.357209 18.739041
88.888889 17.578763 16.345094 18.812431
89.898990 17.630783 16.409986 18.851581
90.909091 17.603232 16.352138 18.854326
91.919192 17.566098 16.325743 18.806452
92.929293 17.581739 16.346235 18.817242
93.939394 17.601930 16.356904 18.846957
94.949495 17.655924 16.479208 18.832640
95.959596 17.616908 16.390377 18.843440
96.969697 17.593556 16.371761 18.815351
97.979798 17.595705 16.384390 18.807020
98.989899 13.728816 4.891841 22.565791
100.000000 0.000000 0.000000 0.000000
