# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000001
2.020202 0.000000 0.000000 0.000001
3.030303 0.000000 0.000000 0.000001
4.040404 0.000000 0.000000 0.000001
5.050505 0.000000 0.000000 0.000001
6.060606 0.514744 0.000000 1.344101
7.070707 2.650013 0.347593 4.952432
8.080808 4.054919 1.999463 6.110375
9.090909 5.002274 3.915409 6.089139
10.101010 5.316114 4.690632 5.941596
11.111111 5.694064 5.685876 5.702253
12.121212 5.918636 5.337507 6.499764
13.131313 6.831437 3.903533 9.759341
14.141414 7.631402 4.499749 10.763055
15.151515 9.299975 6.840593 11.759356
16.161616 10.787041 9.564111 12.009971
17.171717 10.991147 10.143274 11.839020
18.181818 10.991147 10.143274 11.839020
19.191919 10.991147 10.143274 11.839020
20.202020 11.328813 11.239056 11.418569
21.212121 11.328813 11.239056 11.418569
22.222222 11.968242 10.336218 13.600267
23.232323 10.880660 9.029556 12.731765
24.242424 9.417203 3.809086 15.025319
25.252525 3.728058 0.000000 9.336572
26.262626 2.957268 1.727323 4.187213
27.272727 3.168054 2.259260 4.076848
28.282828 4.063571 3.170598 4.956545
29.292929 5.012874 4.088136 5.937612
30.303030 6.018315 5.107196 6.929434
31.313131 7.013643 6.110836 7.916449
32.323232 7.978584 7.734028 8.223139
33.333333 8.250435 8.250428 8.250443
34.343434 8.250435 8.250428 8.250443
35.353535 8.250435 8.250428 8.250443
36.363636 8.282822 8.241435 8.324208
37.373737 8.408890 8.282162 8.535618
38.383838 8.552342 8.552335 8.552349
39.393939 8.552342 8.552335 8.552349
40.404040 8.552342 8.552335 8.552349
41.414141 8.552342 8.552335 8.552349
42.424242 8.552342 8.552335 8.552349
43.434343 8.587190 8.497594 8.676785
44.444444 8.587190 8.497594 8.676785
45.454545 8.587190 8.497594 8.676785
46.464646 8.587190 8.497594 8.676785
47.474747 8.612732 8.466397 8.759067
48.484848 8.612732 8.466397 8.759067
49.494949 8.645962 8.497365 8.794559
50.505051 8.790820 8.586768 8.994872
51.515152 8.900792 8.592148 9.209436
52.525253 8.945285 8.689801 9.200769
53.535354 8.998669 8.896766 9.100572
54.545455 9.038302 9.038295 9.038309
55.555556 9.038302 9.038295 9.038309
56.565657 9.038302 9.038295 9.038309
57.575758 9.038302 9.038295 9.038309
58.585859 9.038302 9.038295 9.038309
59.595960 9.038302 9.038295 9.038309
60.606061 9.038302 9.038295 9.038309
61.616162 9.038302 9.038295 9.038309
62.626263 9.038302 9.038295 9.038309
63.636364 9.038302 9.038295 9.038309
64.646465 9.038302 9.038295 9.038309
65.656566 9.079037 9.011830 9.146243
66.666667 9.185117 9.023496 9.346738
67.676768 9.209479 8.782241 9.636717
68.686869 9.140964 8.994554 9.287373
69.696970 9.258046 8.843357 9.672735
70.707071 9.144655 8.982880 9.306430
71.717172 9.112680 8.954614 9.270746
72.727273 9.047344 9.044791 9.049897
73.737374 9.095084 8.971680 9.218488
74.747475 9.046352 9.043227 9.049476
75.757576 9.128554 8.996404 9.260705
76.767677 9.241807 8.862260 9.621355
77.777778 9.041652 9.033643 9.049662
78.787879 9.229951 8.984526 9.475375
79.797980 9.262527 8.883263 9.641792
80.808081 9.245551 8.844632 9.646470
81.818182 9.054587 8.940034 9.169139
82.828283 9.180265 8.804340 9.556191
83.838384 9.015890 8.887355 9.144424
84.848485 8.988373 8.884069 9.092677
85.858586 9.010595 8.882315 9.138875
86.868687 9.001593 8.828008 9.175178
87.878788 9.004552 8.871704 9.137400
88.888889 9.038291 8.746645 9.329938
89.898990 9.010226 8.711725 9.308727
90.909091 9.010226 8.711725 9.308727
91.919192 9.048152 8.791570 9.304733
92.929293 8.965897 8.738952 9.192842
93.939394 8.926300 8.819575 9.033025
94.949495 8.901954 8.784964 9.018945
95.959596 8.893866 8.774381 9.013351
96.969697 8.811244 8.810749 8.811740
97.979798 8.848493 8.755219 8.941767
98.989899 7.166092 2.722981 11.609203
100.000000 0.253428 0.253405 0.253452
