# fraction_pct mean ci_low ci_high
0.000000 0.002695 0.001367 0.004022
1.010101 4.107053 1.463570 6.750536
2.020202 7.150201 5.858339 8.442062
3.030303 7.982672 7.732011 8.233334
4.040404 8.499994 8.336176 8.663812
5.050505 9.114923 8.864051 9.365795
6.060606 9.615919 9.167892 10.063945
7.070707 9.819657 9.429812 10.209501
8.080808 10.039801 9.923076 10.156526
9.090909 10.074225 9.958699 10.189750
10.101010 10.101593 9.986132 10.217055
11.111111 10.173333 10.029592 10.317075
12.121212 10.471314 10.117728 10.824899
13.131313 10.923167 10.358327 11.488006
14.141414 11.256622 10.637217 11.876027
15.151515 11.456542 10.758104 12.154981
16.161616 11.518422 10.760679 12.276165
17.171717 11.520847 10.761703 12.279992
18.181818 11.522463 10.762078 12.282849
19.191919 11.523146 10.762292 12.283999
20.202020 11.526658 10.761654 12.291662
21.212121 11.527517 10.761546 12.293487
22.222222 11.528107 10.761740 12.294473
23.232323 11.431500 10.706159 12.156841
24.242424 10.566538 10.010052 11.123024
25.252525 9.579671 9.303369 9.855972
26.262626 8.525922 8.214199 8.837644
27.272727 7.136275 6.753814 7.518736
28.282828 4.856387 3.866349 5.846425
29.292929 3.460161 2.809225 4.111098
30.303030 3.258869 2.697598 3.820140
31.313131 3.234020 2.695306 3.772735
32.323232 3.196292 2.656674 3.735910
33.333333 3.445065 3.075326 3.814805
34.343434 3.719358 3.236042 4.202674
35.353535 4.193794 3.710457 4.677132
36.363636 5.013640 4.523730 5.503550
37.373737 5.702521 5.373211 6.031831
38.383838 6.189411 5.888453 6.490369
39.393939 6.565643 6.283627 6.847659
40.404040 6.742416 6.419381 7.065452
41.414141 6.814129 6.449716 7.178541
42.424242 6.834171 6.476364 7.191978
43.434343 7.136517 6.501387 7.771648
44.444444 7.143874 6.508130 7.779618
45.454545 7.146308 6.508994 7.783622
46.464646 7.148788 6.509816 7.787760
47.474747 7.308498 6.727533 7.889464
48.484848 7.310474 6.728848 7.892101
49.494949 7.446376 7.100696 7.792056
50.505051 7.473202 7.138503 7.807901
51.515152 7.587771 7.184134 7.991408
52.525253 7.686038 7.353854 8.018222
53.535354 7.814236 7.494914 8.133557
54.545455 7.873392 7.495668 8.251115
55.555556 8.054263 7.696385 8.412141
56.565657 8.101107 7.793232 8.408981
57.575758 8.311136 7.985012 8.637260
58.585859 8.477903 8.211567 8.744239
59.595960 8.621644 8.367393 8.875896
60.606061 8.803114 8.470214 9.136013
61.616162 8.882501 8.575451 9.189550
62.626263 9.067666 8.734325 9.401008
63.636364 9.165058 8.773329 9.556787
64.646465 9.293571 8.956648 9.630495
65.656566 9.384904 9.068202 9.701606
66.666667 9.454944 9.134620 9.775268
67.676768 9.626717 9.360931 9.892502
68.686869 9.686920 9.404675 9.969165
69.696970 9.748775 9.412690 10.084860
70.707071 9.843114 9.528339 10.157889
71.717172 9.870787 9.568322 10.173252
72.727273 9.899552 9.622019 10.177085
73.737374 9.937823 9.666790 10.208856
74.747475 9.993237 9.722136 10.264337
75.757576 10.041555 9.755186 10.327924
76.767677 10.073073 9.773727 10.372420
77.777778 10.120845 9.810975 10.430716
78.787879 10.127321 9.822854 10.431788
79.797980 10.168140 9.845712 10.490569
80.808081 10.172322 9.850604 10.494041
81.818182 10.197899 9.903767 10.492031
82.828283 10.220010 9.919778 10.520241
83.838384 10.239257 9.939785 10.538729
84.848485 10.254200 9.951624 10.556776
85.858586 10.291150 9.940182 10.642118
86.868687 10.317950 9.987295 10.648605
87.878788 10.354615 10.019176 10.690054
88.888889 10.358719 10.020664 10.696774
89.898990 10.361335 10.020793 10.701877
90.909091 10.367895 10.016755 10.719035
91.919192 10.376606 10.019709 10.733504
92.929293 10.376796 10.019732 10.733860
93.939394 10.379718 10.018801 10.740636
94.949495 10.380619 10.018894 10.742344
95.959596 10.423123 10.087773 10.758474
96.969697 10.440886 10.107225 10.774547
97.979798 10.447834 10.118895 10.776774
98.989899 8.405752 2.994302 13.817203
100.000000 0.000000 0.000000 0.000000
