# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000000
2.020202 0.000000 0.000000 0.000000
3.030303 0.000000 0.000000 0.000000
4.040404 0.000000 0.000000 0.000000
5.050505 0.000000 0.000000 0.000000
6.060606 0.001077 0.000000 0.003846
7.070707 0.019531 0.000000 0.040538
8.080808 0.050734 0.013817 0.087650
9.090909 0.094084 0.045688 0.142480
10.101010 0.124379 0.070181 0.178576
11.111111 0.140570 0.098487 0.182653
12.121212 0.149189 0.103513 0.194865
13.131313 0.149189 0.103513 0.194865
14.141414 0.157001 0.131411 0.182592
15.151515 0.166955 0.166954 0.166955
16.161616 0.166955 0.166954 0.166955
17.171717 0.166955 0.166954 0.166955
18.181818 0.166955 0.166954 0.166955
19.191919 0.170704 0.161065 0.180343
20.202020 0.173228 0.157100 0.189356
21.212121 0.173228 0.157100 0.189356
22.222222 0.180053 0.160836 0.199271
23.232323 0.192378 0.177098 0.207658
24.242424 0.198321 0.198321 0.198322
25.252525 0.203162 0.190716 0.215609
26.262626 0.211290 0.189806 0.232775
27.272727 0.219419 0.195968 0.242870
28.282828 0.219419 0.195968 0.242870
29.292929 0.222707 0.197111 0.248303
30.303030 0.222707 0.197111 0.248303
31.313131 0.227549 0.207058 0.248040
32.323232 0.232393 0.222047 0.242740
33.333333 0.242660 0.220991 0.264329
34.343434 0.235678 0.227227 0.244129
35.353535 0.235678 0.227227 0.244129
36.363636 0.249061 0.232660 0.265462
37.373737 0.244290 0.230595 0.257984
38.383838 0.244326 0.230656 0.257997
39.393939 0.249614 0.232844 0.266385
40.404040 0.249614 0.232844 0.266385
41.414141 0.254939 0.238169 0.271708
42.424242 0.254939 0.238169 0.271708
43.434343 0.254939 0.238169 0.271708
44.444444 0.260263 0.246574 0.273953
45.454545 0.265586 0.265578 0.265594
46.464646 0.265586 0.265578 0.265594
47.474747 0.267927 0.261902 0.273952
48.484848 0.262991 0.256325 0.269656
49.494949 0.260683 0.247987 0.273380
50.505051 0.252620 0.252620 0.252621
51.515152 0.259918 0.248423 0.271414
52.525253 0.260537 0.249090 0.271984
53.535354 0.261523 0.250461 0.272586
54.545455 0.261100 0.250415 0.271785
55.555556 0.267880 0.243543 0.292217
56.565657 0.261705 0.253695 0.269715
57.575758 0.271966 0.251897 0.292036
58.585859 0.268063 0.242330 0.293795
59.595960 0.284699 0.247047 0.322351
60.606061 0.249400 0.246598 0.252201
61.616162 0.250562 0.248119 0.253005
62.626263 0.250982 0.248049 0.253915
63.636364 0.254375 0.249442 0.259309
64.646465 0.254375 0.249442 0.259309
65.656566 0.254375 0.249442 0.259309
66.666667 0.259356 0.246436 0.272276
67.676768 0.253223 0.247602 0.258844
68.686869 0.259514 0.246217 0.272810
69.696970 0.257873 0.228379 0.287366
70.707071 0.257873 0.228379 0.287366
71.717172 0.255162 0.224062 0.286262
72.727273 0.237403 0.227078 0.247729
73.737374 0.235963 0.225318 0.246608
74.747475 0.232691 0.231773 0.233610
75.757576 0.232691 0.231773 0.233610
76.767677 0.236233 0.223543 0.248924
77.777778 0.230272 0.227998 0.232546
78.787879 0.230397 0.228289 0.232504
79.797980 0.230459 0.227624 0.233294
80.808081 0.232404 0.227622 0.237186
81.818182 0.244626 0.220904 0.268348
82.828283 0.238151 0.215208 0.261093
83.838384 0.238182 0.215264 0.261099
84.848485 0.238182 0.215264 0.261099
85.858586 0.247079 0.220223 0.273936
86.868687 0.237620 0.214285 0.260954
87.878788 0.237628 0.214300 0.260956
88.888889 0.237628 0.214301 0.260956
89.898990 0.238106 0.215131 0.261080
90.909091 0.237577 0.214208 0.260946
91.919192 0.237703 0.214416 0.260991
92.929293 0.237703 0.214416 0.260991
93.939394 0.237707 0.214422 0.260991
94.949495 0.228624 0.225453 0.231796
95.959596 0.226519 0.225647 0.227391
96.969697 0.111548 0.012686 0.210410
97.979798 0.026532 0.025917 0.027148
98.989899 0.026288 0.025527 0.027050
100.000000 0.025558 0.025547 0.025570
