# time_s density
11.6597528 0.000357588612
11.6670362 0.000438077866
11.6743196 0.00053530103
11.6816029 0.00065241545
11.6888863 0.000793103846
11.6961697 0.000961647318
11.703453 0.00116300572
11.7107364 0.00140290564
11.7180197 0.00168793612
11.7253031 0.0020256521
11.7325865 0.00242468549
11.7398698 0.00289486353
11.7471532 0.00344733392
11.7544366 0.00409469605
11.7617199 0.00485113719
11.7690033 0.00573257255
11.7762867 0.00675678752
11.78357 0.0079435802
11.7908534 0.00931490197
11.7981367 0.0108949936
11.8054201 0.012710514
11.8127035 0.0147906579
11.8199868 0.0171672593
11.8272702 0.0198748774
11.8345536 0.0229508584
11.8418369 0.0264353724
11.8491203 0.0303714177
11.8564036 0.0348047893
11.863687 0.0397840072
11.8709704 0.0453601994
11.8782537 0.0515869356
11.8855371 0.0585200083
11.8928205 0.0662171566
11.9001038 0.0747377318
11.9073872 0.0841423011
11.9146706 0.09449219
11.9219539 0.105848963
11.9292373 0.11827384
11.9365206 0.131827064
11.943804 0.146567201
11.9510874 0.162550403
11.9583707 0.179829624
11.9656541 0.198453801
11.9729375 0.218467018
11.9802208 0.239907649
11.9875042 0.262807507
11.9947875 0.287191007
12.0020709 0.313074353
12.0093543 0.340464775
12.0166376 0.369359817
12.023921 0.399746706
12.0312044 0.431601809
12.0384877 0.464890194
12.0457711 0.499565309
12.0530545 0.535568788
12.0603378 0.572830408
12.0676212 0.611268181
12.0749045 0.650788607
12.0821879 0.691287087
12.0894713 0.732648486
12.0967546 0.774747854
12.104038 0.817451298
12.1113214 0.860616983
12.1186047 0.904096266
12.1258881 0.947734938
12.1331714 0.991374553
12.1404548 1.03485383
12.1477382 1.07801011
12.1550215 1.12068083
12.1623049 1.16270497
12.1695883 1.20392454
12.1768716 1.24418592
12.184155 1.28334125
12.1914383 1.32124955
12.1987217 1.3577779
12.2060051 1.39280233
12.2132884 1.42620867
12.2205718 1.45789317
12.2278552 1.48776293
12.2351385 1.51573624
12.2424219 1.54174266
12.2497053 1.56572295
12.2569886 1.58762884
12.264272 1.60742269
12.2715553 1.62507694
12.2788387 1.6405735
12.2861221 1.65390301
12.2934054 1.66506407
12.3006888 1.6740624
12.3079722 1.68090995
12.3152555 1.68562407
12.3225389 1.68822666
12.3298222 1.68874341
12.3371056 1.68720307
12.344389 1.68363685
12.3516723 1.67807785
12.3589557 1.67056073
12.3662391 1.66112133
12.3735224 1.64979658
12.3808058 1.63662443
12.3880892 1.62164393
12.3953725 1.60489538
12.4026559 1.58642071
12.4099392 1.56626376
12.4172226 1.54447075
12.424506 1.52109081
12.4317893 1.49617642
12.4390727 1.46978404
12.4463561 1.44197453
12.4536394 1.41281373
12.4609228 1.38237283
12.4682061 1.35072877
12.4754895 1.31796453
12.4827729 1.28416931
12.4900562 1.24943866
12.4973396 1.21387437
12.504623 1.17758441
12.5119063 1.14068262
12.5191897 1.10328832
12.526473 1.06552587
12.5337564 1.02752397
12.5410398 0.989415057
12.5483231 0.951334457
12.5556065 0.913419538
12.5628899 0.875808787
12.5701732 0.838640841
12.5774566 0.802053484
12.58474 0.766182638
12.5920233 0.731161337
12.5993067 0.697118732
12.60659 0.664179103
12.6138734 0.632460926
12.6211568 0.602075976
12.6284401 0.573128488
12.6357235 0.545714391
12.6430069 0.519920598
12.6502902 0.495824385
12.6575736 0.473492837
12.6648569 0.452982381
12.6721403 0.434338395
12.6794237 0.417594899
12.686707 0.402774331
12.6939904 0.389887391
12.7012738 0.378932977
12.7085571 0.369898182
12.7158405 0.362758379
12.7231239 0.35747737
12.7304072 0.354007612
12.7376906 0.352290511
12.7449739 0.352256787
12.7522573 0.353826908
12.7595407 0.356911597
12.766824 0.361412402
12.7741074 0.367222338
12.7813908 0.374226593
12.7886741 0.382303304
12.7959575 0.391324396
12.8032408 0.401156478
12.8105242 0.411661803
12.8178076 0.422699279
12.8250909 0.434125524
12.8323743 0.44579597
12.8396577 0.457565986
12.846941 0.469292038
12.8542244 0.480832852
12.8615078 0.492050577
