# fraction_pct mean ci_low ci_high
0.000000 0.698656 0.000000 2.485374
1.010101 5.505827 1.927660 9.083994
2.020202 6.176605 2.200678 10.152531
3.030303 7.851228 7.410138 8.292317
4.040404 8.422632 8.238066 8.607197
5.050505 8.968402 8.692375 9.244430
6.060606 9.361248 8.826459 9.896036
7.070707 9.831486 9.389094 10.273878
8.080808 9.919096 9.441235 10.396956
9.090909 10.005164 9.724758 10.285571
10.101010 10.022021 9.725570 10.318471
11.111111 10.031347 9.734194 10.328500
12.121212 10.136212 10.021455 10.250968
13.131313 10.191831 10.017924 10.365739
14.141414 10.414990 10.062948 10.767031
15.151515 10.692811 10.220371 11.165251
16.161616 10.776127 10.324925 11.227328
17.171717 10.961738 10.626249 11.297228
18.181818 11.119515 10.966240 11.272791
19.191919 11.116732 10.959548 11.273916
20.202020 11.211840 11.029832 11.393849
21.212121 11.362442 11.148194 11.576689
22.222222 11.375615 11.061270 11.689960
23.232323 11.306463 10.890589 11.722337
24.242424 11.306725 10.882306 11.731144
25.252525 11.299785 10.889757 11.709813
26.262626 11.297704 10.887607 11.707800
27.272727 11.296198 10.886512 11.705883
28.282828 11.300538 10.896738 11.704337
29.292929 11.168090 10.808396 11.527783
30.303030 11.211941 10.907496 11.516386
31.313131 11.218288 10.922708 11.513868
32.323232 11.222681 10.932856 11.512505
33.333333 11.227391 10.943369 11.511413
34.343434 11.243910 10.976873 11.510947
35.353535 11.242429 10.974099 11.510758
36.363636 11.240822 10.971036 11.510608
37.373737 11.241419 10.972181 11.510657
38.383838 11.244515 10.977992 11.511038
39.393939 11.202528 10.883848 11.521207
40.404040 11.202510 10.883804 11.521217
41.414141 11.204860 10.889820 11.519900
42.424242 11.207836 10.897335 11.518337
43.434343 11.231255 10.951692 11.510819
44.444444 11.264805 11.010566 11.519044
45.454545 11.271961 11.019613 11.524309
46.464646 11.242495 10.974224 11.510766
47.474747 11.255401 10.996701 11.514101
48.484848 11.255926 10.997532 11.514319
49.494949 11.256225 10.998004 11.514447
50.505051 11.256253 10.998047 11.514459
51.515152 11.095088 10.512712 11.677464
52.525253 10.649841 10.098093 11.201590
53.535354 10.361438 9.880509 10.842368
54.545455 10.037346 9.727596 10.347095
55.555556 9.585242 9.165758 10.004725
56.565657 8.906322 8.578458 9.234186
57.575758 8.634084 8.330305 8.937864
58.585859 8.549913 8.145816 8.954011
59.595960 8.378365 7.651820 9.104910
60.606061 8.364416 7.642047 9.086784
61.616162 8.343859 7.597753 9.089965
62.626263 8.419825 7.851691 8.987959
63.636364 8.448603 7.946411 8.950794
64.646465 8.445811 7.943970 8.947652
65.656566 8.550189 8.129835 8.970543
66.666667 8.554856 8.133338 8.976373
67.676768 8.566998 8.146991 8.987005
68.686869 8.649292 8.207223 9.091362
69.696970 8.671172 8.245104 9.097240
70.707071 8.708293 8.288822 9.127764
71.717172 8.769343 8.353644 9.185042
72.727273 8.848487 8.364397 9.332576
73.737374 8.954254 8.439934 9.468575
74.747475 8.955169 8.440332 9.470006
75.757576 8.955555 8.440577 9.470533
76.767677 8.955699 8.440668 9.470730
77.777778 8.956559 8.441140 9.471978
78.787879 8.956767 8.441271 9.472264
79.797980 8.957247 8.441570 9.472923
80.808081 8.957879 8.441942 9.473816
81.818182 8.985206 8.438525 9.531886
82.828283 8.995033 8.444994 9.545072
83.838384 9.002638 8.449240 9.556035
84.848485 9.005977 8.451057 9.560897
85.858586 9.042044 8.448386 9.635703
86.868687 9.045437 8.450163 9.640710
87.878788 9.045437 8.450163 9.640710
88.888889 9.045437 8.450163 9.640710
89.898990 9.045448 8.450170 9.640725
90.909091 9.046460 8.450668 9.642253
91.919192 9.047820 8.451501 9.644139
92.929293 9.048363 8.451828 9.644898
93.939394 9.048870 8.452131 9.645610
94.949495 9.063879 8.447087 9.680670
95.959596 9.122508 8.465747 9.779269
96.969697 9.137960 8.462373 9.813546
97.979798 9.138078 8.462531 9.813625
98.989899 9.138078 8.462531 9.813625
100.000000 0.000000 0.000000 0.000000
