# fraction_pct mean ci_low ci_high
0.000000 0.017760 0.000000 0.041212
1.010101 0.070536 0.024042 0.117030
2.020202 0.103857 0.079811 0.127904
3.030303 0.117813 0.106413 0.129213
4.040404 0.140175 0.129170 0.151179
5.050505 0.162091 0.151402 0.172781
6.060606 0.185458 0.174271 0.196645
7.070707 0.208441 0.197049 0.219833
8.080808 0.230603 0.219058 0.242147
9.090909 0.249022 0.235678 0.262367
10.101010 0.265812 0.254835 0.276790
11.111111 0.287001 0.277482 0.296520
12.121212 0.305301 0.296769 0.313832
13.131313 0.312768 0.299332 0.326204
14.141414 0.322980 0.317114 0.328846
15.151515 0.325676 0.319398 0.331953
16.161616 0.328291 0.324573 0.332010
17.171717 0.331477 0.324828 0.338126
18.181818 0.338401 0.326684 0.350117
19.191919 0.344570 0.330010 0.359130
20.202020 0.351397 0.334332 0.368461
21.212121 0.358072 0.341434 0.374711
22.222222 0.367732 0.355122 0.380341
23.232323 0.373802 0.360450 0.387155
24.242424 0.376403 0.363694 0.389112
25.252525 0.382373 0.369787 0.394960
26.262626 0.401654 0.389800 0.413508
27.272727 0.433193 0.409968 0.456419
28.282828 0.461048 0.421198 0.500899
29.292929 0.482507 0.451090 0.513924
30.303030 0.491326 0.459342 0.523311
31.313131 0.494796 0.465786 0.523806
32.323232 0.498548 0.471864 0.525232
33.333333 0.506889 0.478300 0.535477
34.343434 0.510393 0.480759 0.540026
35.353535 0.511027 0.481373 0.540680
36.363636 0.516516 0.486290 0.546743
37.373737 0.518308 0.487944 0.548673
38.383838 0.520290 0.489998 0.550581
39.393939 0.522160 0.492439 0.551881
40.404040 0.523594 0.492346 0.554843
41.414141 0.525157 0.493979 0.556335
42.424242 0.525661 0.494828 0.556494
43.434343 0.526650 0.496622 0.556678
44.444444 0.526728 0.496812 0.556643
45.454545 0.526931 0.496772 0.557089
46.464646 0.527267 0.497185 0.557350
47.474747 0.527283 0.497181 0.557385
48.484848 0.527471 0.497194 0.557747
49.494949 0.527511 0.497191 0.557831
50.505051 0.527518 0.497190 0.557847
51.515152 0.527547 0.497182 0.557911
52.525253 0.527831 0.497185 0.558476
53.535354 0.528170 0.497242 0.559099
54.545455 0.529273 0.499879 0.558668
55.555556 0.529573 0.499813 0.559333
56.565657 0.530546 0.499749 0.561342
57.575758 0.532238 0.503261 0.561215
58.585859 0.532371 0.503251 0.561492
59.595960 0.532773 0.503253 0.562293
60.606061 0.532846 0.503336 0.562356
61.616162 0.532853 0.503334 0.562373
62.626263 0.533302 0.503356 0.563248
63.636364 0.533303 0.503356 0.563251
64.646465 0.533373 0.503361 0.563384
65.656566 0.533761 0.504089 0.563432
66.666667 0.533892 0.504093 0.563692
67.676768 0.534017 0.504092 0.563942
68.686869 0.536056 0.507534 0.564579
69.696970 0.536780 0.507472 0.566087
70.707071 0.537451 0.507508 0.567394
71.717172 0.537519 0.507523 0.567516
72.727273 0.537546 0.507576 0.567516
73.737374 0.537580 0.507568 0.567592
74.747475 0.537723 0.507564 0.567883
75.757576 0.537723 0.507564 0.567883
76.767677 0.537723 0.507564 0.567883
77.777778 0.537723 0.507564 0.567883
78.787879 0.537723 0.507564 0.567883
79.797980 0.537736 0.507561 0.567910
80.808081 0.537736 0.507561 0.567911
81.818182 0.537755 0.507556 0.567954
82.828283 0.537806 0.507542 0.568070
83.838384 0.537806 0.507542 0.568070
84.848485 0.538504 0.507592 0.569415
85.858586 0.538504 0.507592 0.569415
86.868687 0.538696 0.508113 0.569280
87.878788 0.538764 0.508111 0.569417
88.888889 0.538878 0.508102 0.569654
89.898990 0.540532 0.511719 0.569345
90.909091 0.540933 0.511779 0.570088
91.919192 0.541465 0.511905 0.571025
92.929293 0.541751 0.512020 0.571482
93.939394 0.541817 0.512053 0.571581
94.949495 0.545581 0.514702 0.576459
95.959596 0.547586 0.517114 0.578058
96.969697 0.547584 0.517113 0.578054
97.979798 0.469366 0.281276 0.657457
98.989899 0.130834 0.000000 0.268818
100.000000 0.000000 0.000000 0.000000
