# time_s density
2.41398296 0.00287243879
2.41492777 0.00428572862
2.41587259 0.00632934474
2.4168174 0.00925241715
2.41776221 0.0133880261
2.41870703 0.0191754563
2.41965184 0.0271860474
2.42059666 0.0381523752
2.42154147 0.0530001149
2.42248629 0.072881462
2.4234311 0.0992084225
2.42437591 0.133683677
2.42532073 0.178326101
2.42626554 0.235487473
2.42721036 0.30785648
2.42815517 0.398445956
2.42909999 0.510559459
2.4300448 0.647733837
2.43098961 0.813655554
2.43193443 1.01205007
2.43287924 1.2465457
2.43382406 1.52051579
2.43476887 1.83690574
2.43571369 2.1980541
2.4366585 2.60551922
2.43760331 3.05992479
2.43854813 3.56083816
2.43949294 4.10669504
2.44043776 4.69478197
2.44138257 5.32128491
2.44232739 5.98140711
2.4432722 6.66955411
2.44421701 7.37957692
2.44516183 8.1050584
2.44610664 8.83962233
2.44705146 9.57724045
2.44799627 10.3125111
2.44894109 11.0408836
2.4498859 11.7588054
2.45083071 12.4637764
2.45177553 13.1543011
2.45272034 13.8297408
2.45366516 14.4900764
2.45460997 15.1356024
2.45555479 15.7665822
2.4564996 16.3828954
2.45744441 16.9837143
2.45838923 17.5672414
2.45933404 18.1305354
2.46027886 18.6694447
2.46122367 19.1786568
2.46216849 19.6518591
2.4631133 20.0819978
2.46405811 20.4616108
2.46500293 20.7832032
2.46594774 21.0396328
2.46689256 21.2244716
2.46783737 21.3323141
2.46878219 21.3590112
2.469727 21.3018149
2.47067181 21.1594337
2.47161663 20.9320022
2.47256144 20.6209818
2.47350626 20.229012
2.47445107 19.7597356
2.47539589 19.2176202
2.4763407 18.6077956
2.47728551 17.9359212
2.47823033 17.2080903
2.47917514 16.4307708
2.48011996 15.6107771
2.48106477 14.7552601
2.48200959 13.8717023
2.4829544 12.9679017
2.48389921 12.0519331
2.48484403 11.1320752
2.48578884 10.2167008
2.48673366 9.31412982
2.48767847 8.43245246
2.48862329 7.57933293
2.4895681 6.76180771
2.49051291 5.98609378
2.49145773 5.25742156
2.49240254 4.57990535
2.49334736 3.95646077
2.49429217 3.38877443
2.49523699 2.87732657
2.4961818 2.42146361
2.49712661 2.01951329
2.49807143 1.66893305
2.49901624 1.36648044
2.49996106 1.10839395
2.50090587 0.890573293
2.50185068 0.708749587
2.5027955 0.558637828
2.50374031 0.436066281
2.50468513 0.337079849
2.50562994 0.258016544
2.50657476 0.195558071
2.50751957 0.146756938
2.50846438 0.109043453
2.5094092 0.0802165213
2.51035401 0.0584222381
2.51129883 0.042124139
2.51224364 0.0300685177
2.51318846 0.0212477016
2.51413327 0.0148635555
2.51507808 0.0102928834
2.5160229 0.00705583759
2.51696771 0.00478797198
2.51791253 0.00321618545
2.51885734 0.00213851624
2.51980216 0.00140754421
2.52074697 0.000917035259
2.52169178 0.000591400114
2.5226366 0.000377524708
2.52358141 0.000238547848
2.52452623 0.000149200264
2.52547104 9.23688863e-05
2.52641586 5.66033491e-05
2.52736067 3.43334406e-05
2.52830548 2.0613415e-05
2.5292503 1.2250076e-05
2.53019511 7.20580929e-06
2.53113993 4.19547307e-06
2.53208474 2.41786729e-06
2.53302956 1.37922963e-06
2.53397437 7.78740256e-07
2.53491918 4.35211144e-07
2.535864 2.40745511e-07
2.53680881 1.31815574e-07
2.53775363 7.1437324e-08
2.53869844 3.83206791e-08
2.53964326 2.03465374e-08
2.54058807 1.06929389e-08
2.54153288 5.56229236e-09
2.5424777 2.86395058e-09
2.54342251 1.45966888e-09
2.54436733 7.36577857e-10
2.54531214 3.68376835e-10
2.54625696 1.83390488e-10
2.54720177 9.26010161e-11
2.54814658 5.10177759e-11
2.5490914 3.75215546e-11
2.55003621 4.51510958e-11
2.55098103 7.78486054e-11
2.55192584 1.5230601e-10
2.55287066 3.05683767e-10
2.55381547 6.12385766e-10
2.55476028 1.21663076e-09
2.5557051 2.39347318e-09
2.55664991 4.66109401e-09
2.55759473 8.98469731e-09
2.55853954 1.71422487e-08
2.55948436 3.23727193e-08
2.56042917 6.05114039e-08
2.56137398 1.11954576e-07
2.5623188 2.05018484e-07
2.56326361 3.7161286e-07
2.56420843 6.66706972e-07
2.56515324 1.1839294e-06
2.56609806 2.08095725e-06
2.56704287 3.62032081e-06
