# fraction_pct mean ci_low ci_high
0.000000 1.857925 0.662840 3.053010
1.010101 5.893388 4.955670 6.831106
2.020202 9.144037 7.271958 11.016117
3.030303 10.649155 8.721816 12.576495
4.040404 12.642932 10.386386 14.899478
5.050505 14.199399 12.760835 15.637962
6.060606 14.255447 12.971088 15.539806
7.070707 13.645403 12.319749 14.971056
8.080808 12.886747 12.574922 13.198571
9.090909 12.966040 12.592026 13.340054
10.101010 13.005355 12.592522 13.418188
11.111111 13.135973 12.550583 13.721363
12.121212 13.075347 12.302159 13.848536
13.131313 13.358806 12.387450 14.330163
14.141414 12.185222 11.548060 12.822384
15.151515 11.606644 10.215993 12.997294
16.161616 10.841111 10.174144 11.508078
17.171717 10.739930 10.059005 11.420855
18.181818 10.727561 10.036629 11.418492
19.191919 10.729831 10.043194 11.416468
20.202020 10.729751 10.042964 11.416539
21.212121 10.728976 10.040725 11.417228
22.222222 10.725543 10.035382 11.415704
23.232323 10.927119 10.456515 11.397724
24.242424 10.883569 10.403140 11.363999
25.252525 10.883796 10.403491 11.364101
26.262626 10.855396 10.354384 11.356408
27.272727 10.858010 10.359315 11.356706
28.282828 10.858444 10.360125 11.356763
29.292929 10.858036 10.359362 11.356709
30.303030 10.838618 10.320903 11.356333
31.313131 10.840469 10.324748 11.356191
32.323232 10.841911 10.327717 11.356105
33.333333 10.840122 10.324029 11.356215
34.343434 10.837938 10.319482 11.356394
35.353535 10.833166 10.309373 11.356959
36.363636 10.835059 10.313412 11.356707
37.373737 10.832465 10.307868 11.357061
38.383838 10.831895 10.306641 11.357148
39.393939 11.077183 10.395151 11.759214
40.404040 11.503324 10.678538 12.328110
41.414141 11.680358 10.606369 12.754347
42.424242 11.971728 11.240755 12.702701
43.434343 12.808559 10.939695 14.677423
44.444444 17.734434 17.273580 18.195287
45.454545 17.414927 16.302026 18.527827
46.464646 17.789043 16.861182 18.716905
47.474747 17.882147 17.128381 18.635912
48.484848 17.908932 17.198184 18.619680
49.494949 18.038561 17.460380 18.616741
50.505051 17.880165 17.322871 18.437458
51.515152 17.476095 16.047739 18.904451
52.525253 17.616293 16.937124 18.295463
53.535354 18.079614 17.524293 18.634936
54.545455 17.933731 17.593355 18.274107
55.555556 17.777512 17.176158 18.378867
56.565657 17.792921 17.599046 17.986796
57.575758 17.433783 16.606032 18.261535
58.585859 17.416388 16.587645 18.245132
59.595960 17.657451 16.551762 18.763140
60.606061 17.673736 16.647208 18.700263
61.616162 17.546812 16.496400 18.597225
62.626263 17.737867 16.684452 18.791282
63.636364 17.576234 16.540422 18.612045
64.646465 17.480420 16.378534 18.582307
65.656566 17.641465 16.615679 18.667251
66.666667 17.156607 15.714044 18.599169
67.676768 17.854695 17.077421 18.631969
68.686869 17.794008 17.147556 18.440460
69.696970 18.881365 15.861844 21.900886
70.707071 17.317014 16.972508 17.661520
71.717172 17.733256 16.400327 19.066185
72.727273 16.336459 14.985533 17.687385
73.737374 15.316515 14.936558 15.696472
74.747475 15.266967 14.889970 15.643964
75.757576 15.249736 14.891207 15.608266
76.767677 15.208609 14.861510 15.555707
77.777778 15.258496 14.987826 15.529167
78.787879 15.490537 15.236979 15.744094
79.797980 16.318452 15.112339 17.524565
80.808081 16.251447 15.686728 16.816165
81.818182 16.954987 15.438339 18.471636
82.828283 16.835779 15.658386 18.013171
83.838384 16.806536 15.695778 17.917294
84.848485 16.795667 15.709392 17.881942
85.858586 16.547754 15.933619 17.161889
86.868687 16.544874 15.934457 17.155291
87.878788 16.667496 15.852952 17.482040
88.888889 16.631584 15.884783 17.378385
89.898990 16.633172 15.883487 17.382857
90.909091 16.637964 15.879507 17.396422
91.919192 16.643964 15.874388 17.413539
92.929293 16.649083 15.884825 17.413342
93.939394 16.748717 15.866546 17.630889
94.949495 16.794593 15.843962 17.745225
95.959596 16.817784 15.828989 17.806580
96.969697 17.480996 15.431015 19.530976
97.979798 17.847576 16.228478 19.466675
98.989899 17.586463 16.957589 18.215338
100.000000 13.599664 4.857375 22.341953
