# fraction_pct mean ci_low ci_high
0.000000 0.217613 0.000000 0.444740
1.010101 0.618228 0.330695 0.905761
2.020202 0.765868 0.550871 0.980865
3.030303 0.890739 0.689904 1.091573
4.040404 1.137882 0.944828 1.330935
5.050505 1.280389 1.147130 1.413647
6.060606 1.355520 1.320923 1.390117
7.070707 1.517249 1.267281 1.767217
8.080808 1.667830 1.434408 1.901251
9.090909 1.745552 1.644326 1.846778
10.101010 1.747482 1.648693 1.846271
11.111111 1.751222 1.653121 1.849323
12.121212 1.791299 1.710813 1.871786
13.131313 2.152614 1.804974 2.500254
14.141414 2.605181 2.435076 2.775287
15.151515 2.844009 2.763978 2.924040
16.161616 2.892382 2.845804 2.938960
17.171717 2.944555 2.876411 3.012698
18.181818 3.014780 2.916338 3.113221
19.191919 3.015188 2.916712 3.113663
20.202020 3.056477 2.868626 3.244328
21.212121 3.071600 2.886487 3.256713
22.222222 3.091270 2.897720 3.284819
23.232323 3.092435 2.897984 3.286887
24.242424 3.103582 2.913541 3.293623
25.252525 3.233600 3.081327 3.385873
26.262626 3.381519 3.232508 3.530531
27.272727 3.394311 3.255694 3.532928
28.282828 3.632080 3.372700 3.891460
29.292929 3.967148 3.664655 4.269641
30.303030 4.021743 3.779502 4.263984
31.313131 4.077551 3.949113 4.205990
32.323232 4.136404 4.017629 4.255180
33.333333 4.168980 4.057311 4.280648
34.343434 4.181637 4.078559 4.284714
35.353535 4.188032 4.085088 4.290977
36.363636 4.227515 4.159724 4.295306
37.373737 4.227909 4.160005 4.295813
38.383838 4.228241 4.160138 4.296343
39.393939 4.276975 4.104627 4.449322
40.404040 4.278147 4.105963 4.450332
41.414141 4.278147 4.105963 4.450332
42.424242 4.278148 4.105964 4.450332
43.434343 4.278149 4.105965 4.450333
44.444444 4.278154 4.105970 4.450337
45.454545 4.278154 4.105970 4.450337
46.464646 4.278154 4.105970 4.450337
47.474747 4.324566 4.040939 4.608194
48.484848 4.327848 4.041564 4.614132
49.494949 4.453003 4.153318 4.752688
50.505051 4.875731 4.652604 5.098857
51.515152 5.753457 5.474336 6.032578
52.525253 6.936544 6.311417 7.561670
53.535354 8.092259 7.546612 8.637906
54.545455 8.804502 8.052616 9.556387
55.555556 9.279186 8.878683 9.679690
56.565657 11.429507 10.324145 12.534868
57.575758 12.634546 10.699539 14.569552
58.585859 13.310619 12.094407 14.526832
59.595960 13.785108 13.008728 14.561489
60.606061 14.036675 13.332548 14.740801
61.616162 14.268362 13.714091 14.822633
62.626263 15.760003 15.012896 16.507109
63.636364 17.993096 17.675470 18.310721
64.646465 20.707123 18.200377 23.213870
65.656566 20.725312 18.247241 23.203382
66.666667 20.726323 18.249809 23.202838
67.676768 20.726520 18.250307 23.202733
68.686869 20.726578 18.250454 23.202702
69.696970 20.727070 18.251693 23.202446
70.707071 20.727070 18.251693 23.202446
71.717172 20.499070 18.259819 22.738322
72.727273 20.416985 18.224074 22.609896
73.737374 20.262074 18.310739 22.213408
74.747475 20.261479 18.309224 22.213735
75.757576 19.637377 18.333273 20.941480
76.767677 19.064807 18.339642 19.789972
77.777778 18.457908 18.228553 18.687264
78.787879 18.005894 17.556002 18.455786
79.797980 17.740392 17.043478 18.437306
80.808081 17.835762 17.235272 18.436251
81.818182 17.972486 17.503446 18.441525
82.828283 18.009206 17.580482 18.437930
83.838384 18.011887 17.586346 18.437429
84.848485 18.377804 17.871332 18.884275
85.858586 18.919993 18.324773 19.515213
86.868687 19.056841 18.358415 19.755266
87.878788 19.068153 18.356740 19.779566
88.888889 19.071019 18.357044 19.784993
89.898990 19.144973 18.339487 19.950459
90.909091 19.287246 18.323445 20.251047
91.919192 19.532621 18.385573 20.679669
92.929293 19.531636 18.467900 20.595373
93.939394 19.569296 18.562129 20.576463
94.949495 19.572645 18.567070 20.578219
95.959596 19.571883 18.567102 20.576664
96.969697 19.574268 18.567245 20.581291
97.979798 19.574932 18.566282 20.583582
98.989899 19.575516 18.567511 20.583520
100.000000 0.000000 0.000000 0.000000
