# time_s density
343.768259 0.000137431445
343.807575 0.000301938928
343.846891 0.000636874955
343.886208 0.00128970772
343.925524 0.00250743967
343.96484 0.00468027912
344.004157 0.00838716296
344.043473 0.0144298054
344.082789 0.0238346037
344.122106 0.0377970114
344.161422 0.0575451934
344.200738 0.0841129207
344.240055 0.118037075
344.279371 0.159028964
344.318687 0.205700851
344.358004 0.255445357
344.39732 0.304552385
344.436636 0.348600546
344.475953 0.383085917
344.515269 0.404172144
344.554585 0.409391327
344.593902 0.398119062
344.633218 0.371697296
344.672534 0.333171616
344.711851 0.286714058
344.751167 0.236882611
344.790483 0.187898508
344.8298 0.143096443
344.869116 0.104636179
344.908432 0.073483935
344.947749 0.0496062081
344.987065 0.0322842098
345.026381 0.0204566757
345.065698 0.0130229418
345.105014 0.00907191199
345.14433 0.00803205776
345.183647 0.00975460415
345.222963 0.0145449181
345.262279 0.0231496245
345.301596 0.0366960206
345.340912 0.0565734943
345.380228 0.0842497044
345.419545 0.12102919
345.458861 0.167785239
345.498177 0.224718098
345.537494 0.291201711
345.57681 0.365767314
345.616126 0.446233975
345.655443 0.529944788
345.694759 0.614024527
345.734076 0.695563642
345.773392 0.771666952
345.812708 0.83937545
345.852025 0.895547118
345.891341 0.936829035
345.930657 0.959839239
345.969974 0.961599703
346.00929 0.940149487
346.048606 0.895167794
346.087923 0.828396206
346.127239 0.743689633
346.166555 0.646633291
346.205872 0.543796583
346.245188 0.441802886
346.284504 0.346439117
346.323821 0.262000111
346.363137 0.190978892
346.402453 0.134110371
346.44177 0.0906892859
346.481086 0.059036507
346.520402 0.036985772
346.559719 0.0222943513
346.599035 0.0129274292
346.638351 0.00720956283
346.677668 0.00386648457
346.716984 0.00199375857
346.7563 0.000988375736
346.795617 0.000470992639
346.834933 0.00021572593
346.874249 9.49607735e-05
346.913566 4.0169896e-05
346.952882 1.63281043e-05
346.992198 6.37699835e-06
347.031515 2.39283005e-06
347.070831 8.62570095e-07
347.110147 2.98702048e-07
347.149464 9.93618461e-08
347.18878 3.17480546e-08
347.228096 9.74340599e-09
347.267413 2.87198785e-09
347.306729 8.13047649e-10
347.346045 2.21052758e-10
347.385362 5.77176577e-11
347.424678 1.44724415e-11
347.463994 3.48484859e-12
347.503311 8.05795297e-13
347.542627 1.78918359e-13
347.581943 3.8147491e-14
347.62126 7.80998634e-15
347.660576 1.53532685e-15
347.699892 2.89808692e-16
347.739209 5.25262356e-17
347.778525 9.14092868e-18
347.817841 1.52738632e-18
347.857158 2.4504611e-19
347.896474 3.77470735e-20
347.93579 5.58279789e-21
347.975107 7.92776174e-22
348.014423 1.08087771e-22
348.053739 1.41490509e-23
348.093056 1.7782818e-24
348.132372 2.14582521e-25
348.171688 2.48603225e-26
348.211005 2.76526127e-27
348.250321 2.95312001e-28
348.289637 3.02789068e-29
348.328954 2.98065868e-30
348.36827 2.81706051e-31
348.407586 2.55617745e-32
348.446903 2.22687497e-33
348.486219 1.86255835e-34
348.525535 1.49565849e-35
348.564852 1.15308906e-36
348.604168 8.53494143e-38
348.643484 6.06519815e-39
348.682801 4.13804996e-40
348.722117 2.71051822e-41
348.761433 1.70456834e-42
348.80075 1.02915703e-43
348.840066 5.96559422e-45
348.879382 3.31994072e-46
348.918699 1.77382698e-47
348.958015 9.09905453e-49
348.997331 4.4811054e-50
349.036648 2.11874041e-51
349.075964 9.61775869e-53
349.11528 4.19153784e-54
349.154597 1.75378423e-55
349.193913 7.04501738e-57
349.233229 2.71700855e-58
349.272546 1.00601134e-59
349.311862 3.57616534e-61
349.351178 1.22049238e-62
349.390495 3.99903544e-64
349.429811 1.25799255e-65
349.469127 3.79930325e-67
349.508444 1.10330874e-68
349.54776 9.33838836e-70
349.587076 2.23560088e-68
349.626393 7.64509903e-67
349.665709 2.5109209e-65
349.705025 7.91744642e-64
349.744342 2.39684142e-62
349.783658 6.96619353e-61
349.822974 1.94381011e-59
349.862291 5.20731924e-58
349.901607 1.3392962e-56
349.940923 3.30705286e-55
349.98024 7.8398491e-54
350.019556 1.78433476e-52
350.058872 3.89894434e-51
350.098189 8.179369e-50
350.137505 1.6473832e-48
350.176821 3.18545542e-47
350.216138 5.91358026e-46
350.255454 1.05397795e-44
350.29477 1.80349368e-43
350.334087 2.96278262e-42
350.373403 4.67290571e-41
350.412719 7.07581247e-40
350.452036 1.02865011e-38
350.491352 1.43569142e-37
350.530668 1.9237853e-36
350.569985 2.4748801e-35
350.609301 3.05670686e-34
350.648617 3.62456162e-33
350.687934 4.12628526e-32
350.72725 4.50988093e-31
350.766566 4.73230764e-30
350.805883 4.76741468e-29
350.845199 4.61099824e-28
350.884515 4.28162916e-27
350.923832 3.81702679e-26
350.963148 3.26695712e-25
351.002464 2.68450197e-24
351.041781 2.11780556e-23
351.081097 1.6040227e-22
351.120413 1.16637177e-21
351.15973 8.14264607e-21
351.199046 5.45753063e-20
351.238362 3.51179271e-19
351.277679 2.16951986e-18
351.316995 1.28676859e-17
351.356311 7.32722186e-17
351.395628 4.00571731e-16
351.434944 2.10243859e-15
351.47426 1.05942059e-14
351.513577 5.125256e-14
351.552893 2.38048136e-13
351.59221 1.0614904e-12
351.631526 4.54432544e-12
351.670842 1.86777624e-11
351.710159 7.37025193e-11
351.749475 2.79217019e-10
351.788791 1.01555513e-09
351.828108 3.54623239e-09
351.867424 1.1888661e-08
351.90674 3.82649159e-08
351.946057 1.18241695e-07
351.985373 3.5078628e-07
352.024689 9.99117618e-07
352.064006 2.73207553e-06
352.103322 7.17250487e-06
352.142638 1.80780286e-05
352.181955 4.37454967e-05
352.221271 0.000101629012
352.260587 0.000226675257
352.299904 0.000485391984
352.33922 0.000997891099
352.378536 0.0019695897
352.417853 0.00373224758
352.457169 0.00678995965
352.496485 0.0118594898
352.535802 0.0198868908
352.575118 0.0320162037
352.614434 0.0494851451
352.653751 0.0734314203
352.693067 0.104614305
352.732383 0.143087695
352.7717 0.187895148
352.811016 0.236881373
352.850332 0.286713619
352.889649 0.333171467
352.928965 0.371697247
352.968281 0.398119047
353.007598 0.409391322
353.046914 0.404172142
353.08623 0.383085916
353.125547 0.348600545
353.164863 0.304552385
353.204179 0.255445357
353.243496 0.205700851
353.282812 0.159028964
353.322128 0.118037075
353.361445 0.0841129207
353.400761 0.0575451934
353.440077 0.0377970114
353.479394 0.0238346037
353.51871 0.0144298054
353.558026 0.00838716296
353.597343 0.00468027912
353.636659 0.00250743967
353.675975 0.00128970772
353.715292 0.000636874955
353.754608 0.000301938928
353.793924 0.000137431445
