# fraction_pct mean ci_low ci_high
0.000000 0.463823 0.083610 0.844035
1.010101 1.100222 0.465959 1.734485
2.020202 1.142262 0.603354 1.681170
3.030303 1.191650 0.757082 1.626218
4.040404 1.337189 0.952876 1.721502
5.050505 1.431721 1.170511 1.692932
6.060606 1.532304 1.359421 1.705187
7.070707 1.654347 1.589135 1.719559
8.080808 1.695291 1.695028 1.695555
9.090909 1.695291 1.695028 1.695555
10.101010 1.695291 1.695028 1.695555
11.111111 1.695291 1.695028 1.695555
12.121212 1.711556 1.669680 1.753432
13.131313 1.718183 1.677172 1.759194
14.141414 1.934711 1.417253 2.452169
15.151515 2.038680 1.362701 2.714659
16.161616 2.717827 1.555026 3.880628
17.171717 3.259634 2.085174 4.434094
18.181818 3.864666 2.532083 5.197248
19.191919 4.726165 2.880943 6.571387
20.202020 5.941917 4.004239 7.879594
21.212121 5.815015 3.810467 7.819562
22.222222 5.938600 4.056828 7.820373
23.232323 6.142146 4.280076 8.004216
24.242424 6.142146 4.280076 8.004216
25.252525 6.400498 4.519281 8.281715
26.262626 6.400498 4.519281 8.281715
27.272727 6.570503 4.553698 8.587308
28.282828 6.657923 4.539425 8.776422
29.292929 6.599977 4.465518 8.734436
30.303030 2.990896 1.154084 4.827707
31.313131 2.824748 0.129952 5.519543
32.323232 1.776535 1.776271 1.776800
33.333333 1.776535 1.776271 1.776800
34.343434 1.776535 1.776271 1.776800
35.353535 1.955794 1.495081 2.416507
36.363636 2.083741 1.318864 2.848617
37.373737 2.297030 1.478919 3.115142
38.383838 2.813638 1.983702 3.643573
39.393939 2.999039 2.032555 3.965524
40.404040 3.265945 2.694311 3.837580
41.414141 3.638296 3.299553 3.977039
42.424242 4.006000 2.924075 5.087925
43.434343 4.035582 2.880946 5.190218
44.444444 4.167219 3.144675 5.189762
45.454545 4.168852 3.147350 5.190354
46.464646 4.564991 3.312628 5.817354
47.474747 4.564991 3.312628 5.817354
48.484848 4.779482 3.130751 6.428213
49.494949 4.962938 2.917357 7.008518
50.505051 5.043144 2.936550 7.149739
51.515152 5.043144 2.936550 7.149739
52.525253 5.445309 3.023009 7.867610
53.535354 6.938037 5.699985 8.176088
54.545455 7.748215 7.747752 7.748679
55.555556 7.437900 6.773358 8.102442
56.565657 3.231443 1.363608 5.099278
57.575758 2.073816 1.309398 2.838234
58.585859 2.073816 1.309398 2.838234
59.595960 2.125965 1.227471 3.024459
60.606061 1.776535 1.776271 1.776800
61.616162 1.776535 1.776271 1.776800
62.626263 1.776535 1.776271 1.776800
63.636364 1.776535 1.776271 1.776800
64.646465 1.776535 1.776271 1.776800
65.656566 1.776535 1.776271 1.776800
66.666667 1.776535 1.776271 1.776800
67.676768 1.776535 1.776271 1.776800
68.686869 1.776535 1.776271 1.776800
69.696970 1.776535 1.776271 1.776800
70.707071 1.776535 1.776271 1.776800
71.717172 1.776535 1.776271 1.776800
72.727273 1.874912 1.621875 2.127950
73.737374 1.582469 1.083634 2.081304
74.747475 2.064279 0.496765 3.631793
75.757576 2.024410 0.884920 3.163899
76.767677 1.759743 0.464203 3.055283
77.777778 1.580365 0.740842 2.419888
78.787879 1.617112 0.212166 3.022059
79.797980 1.647428 0.203056 3.091801
80.808081 1.084602 0.348931 1.820273
81.818182 1.230604 0.537330 1.923879
82.828283 1.087648 0.344146 1.831150
83.838384 1.111266 0.307043 1.915490
84.848485 0.791152 0.771622 0.810681
85.858586 0.791152 0.771622 0.810681
86.868687 1.090551 0.340376 1.840725
87.878788 0.840566 0.732202 0.948930
88.888889 1.045716 0.410018 1.681413
89.898990 0.798248 0.792958 0.803537
90.909091 0.798248 0.792958 0.803537
91.919192 0.798248 0.792958 0.803537
92.929293 0.798248 0.792958 0.803537
93.939394 1.015609 0.457313 1.573904
94.949495 0.894567 0.647438 1.141696
95.959596 0.798248 0.792958 0.803537
96.969697 0.788993 0.763331 0.814655
97.979798 0.277302 0.000000 0.617387
98.989899 0.057059 0.000000 0.122402
100.000000 0.018304 0.002644 0.033965
