# fraction_pct mean ci_low ci_high
0.000000 0.196798 0.076471 0.317125
1.010101 0.382897 0.039289 0.726505
2.020202 0.384956 0.042777 0.727136
3.030303 0.385908 0.044364 0.727453
4.040404 0.388153 0.048069 0.728237
5.050505 0.485331 0.000000 1.072337
6.060606 0.485687 0.000000 1.072487
7.070707 0.696277 0.111709 1.280846
8.080808 0.912144 0.517405 1.306883
9.090909 1.126509 0.755533 1.497485
10.101010 1.486923 1.406765 1.567080
11.111111 1.593844 1.535489 1.652198
12.121212 1.718039 1.440339 1.995740
13.131313 1.819603 1.481197 2.158009
14.141414 2.099496 1.631672 2.567320
15.151515 2.440060 2.197801 2.682319
16.161616 2.673641 2.572765 2.774517
17.171717 2.790728 2.674562 2.906895
18.181818 2.850983 2.753888 2.948079
19.191919 2.975649 2.803692 3.147606
20.202020 3.003673 2.842629 3.164717
21.212121 3.018601 2.880121 3.157081
22.222222 3.020931 2.883301 3.158560
23.232323 3.023744 2.889648 3.157839
24.242424 3.024279 2.890519 3.158038
25.252525 3.024340 2.890618 3.158062
26.262626 3.024341 2.890620 3.158062
27.272727 3.024349 2.890633 3.158065
28.282828 3.024354 2.890641 3.158067
29.292929 3.024435 2.890579 3.158291
30.303030 3.024886 2.891075 3.158697
31.313131 3.025059 2.891249 3.158868
32.323232 3.028102 2.895314 3.160889
33.333333 3.096255 2.971572 3.220938
34.343434 3.260945 3.074545 3.447346
35.353535 3.439843 3.180995 3.698692
36.363636 3.614916 3.398375 3.831457
37.373737 3.767896 3.629126 3.906666
38.383838 3.881099 3.703776 4.058422
39.393939 3.881099 3.703776 4.058423
40.404040 3.913831 3.749385 4.078276
41.414141 3.941366 3.838822 4.043910
42.424242 3.970220 3.911466 4.028973
43.434343 3.970221 3.911468 4.028973
44.444444 3.970246 3.911516 4.028976
45.454545 3.972107 3.914645 4.029569
46.464646 3.974058 3.917792 4.030324
47.474747 3.975655 3.920161 4.031150
48.484848 3.995700 3.929110 4.062290
49.494949 3.996057 3.929355 4.062759
50.505051 4.010190 3.945287 4.075093
51.515152 4.012073 3.944634 4.079512
52.525253 4.051220 3.980308 4.122132
53.535354 4.097798 3.996338 4.199258
54.545455 4.098938 3.997443 4.200432
55.555556 4.143908 3.993011 4.294806
56.565657 4.762884 4.478252 5.047516
57.575758 5.655162 5.274712 6.035611
58.585859 6.847897 6.157704 7.538091
59.595960 8.206823 7.348465 9.065180
60.606061 8.688295 7.827644 9.548946
61.616162 9.156562 8.551051 9.762073
62.626263 10.845064 9.634002 12.056127
63.636364 12.192440 11.063892 13.320988
64.646465 13.309551 12.459192 14.159910
65.656566 13.616517 12.500115 14.732920
66.666667 13.771294 12.684718 14.857871
67.676768 14.007361 13.115094 14.899627
68.686869 14.957710 13.801123 16.114297
69.696970 16.757782 15.071206 18.444358
70.707071 19.763885 18.058589 21.469181
71.717172 20.301920 18.339210 22.264631
72.727273 20.309100 18.363158 22.255043
73.737374 20.318575 18.394709 22.242440
74.747475 20.419312 18.475254 22.363370
75.757576 20.434800 18.489550 22.380051
76.767677 20.470882 18.523735 22.418029
77.777778 20.472078 18.524786 22.419370
78.787879 20.471337 18.524224 22.418450
79.797980 20.538466 18.516647 22.560285
80.808081 20.551049 18.526762 22.575337
81.818182 20.551809 18.527409 22.576209
82.828283 20.548827 18.528568 22.569085
83.838384 20.532902 18.534630 22.531175
84.848485 20.535383 18.538800 22.531966
85.858586 20.535383 18.538800 22.531966
86.868687 20.549373 18.533854 22.564893
87.878788 20.554300 18.531991 22.576610
88.888889 20.554985 18.531727 22.578243
89.898990 20.555144 18.531666 22.578622
90.909091 20.555149 18.531664 22.578634
91.919192 20.555149 18.531664 22.578634
92.929293 20.555149 18.531664 22.578634
93.939394 20.555149 18.531664 22.578634
94.949495 20.555194 18.531647 22.578742
95.959596 20.555194 18.531647 22.578742
96.969697 20.555191 18.531644 22.578738
97.979798 20.556281 18.532732 22.579831
98.989899 20.557893 18.533912 22.581873
100.000000 3.522350 0.000000 12.578314
