# fraction_pct mean ci_low ci_high
0.000000 0.799781 0.000000 2.834821
1.010101 8.005723 5.069309 10.942138
2.020202 13.570941 11.611970 15.529913
3.030303 16.819764 15.606775 18.032754
4.040404 18.187651 16.527029 19.848272
5.050505 19.483109 18.627726 20.338492
6.060606 18.939039 17.216158 20.661920
7.070707 18.698081 17.084161 20.312001
8.080808 15.620461 13.280382 17.960540
9.090909 11.488332 10.444133 12.532530
10.101010 11.357531 10.567758 12.147304
11.111111 9.747175 6.755989 12.738361
12.121212 7.474736 5.800358 9.149114
13.131313 7.790931 5.759975 9.821886
14.141414 7.906978 6.081386 9.732569
15.151515 8.018317 6.294179 9.742455
16.161616 8.019769 6.299500 9.740037
17.171717 7.997271 6.214939 9.779603
18.181818 8.042918 6.314584 9.771253
19.191919 8.005570 6.294979 9.716161
20.202020 8.085283 6.277837 9.892729
21.212121 8.637365 6.872951 10.401779
22.222222 9.314810 7.437591 11.192030
23.232323 13.288863 12.126096 14.451630
24.242424 24.295094 23.194434 25.395755
25.252525 22.719054 21.644728 23.793380
26.262626 21.966892 20.614076 23.319707
27.272727 22.254841 20.976373 23.533309
28.282828 22.630276 21.684769 23.575783
29.292929 22.579490 21.584513 23.574468
30.303030 22.851013 21.802276 23.899750
31.313131 22.907112 21.890941 23.923282
32.323232 23.402042 22.650313 24.153771
33.333333 22.172076 20.777950 23.566203
34.343434 20.065290 15.830416 24.300165
35.353535 14.994770 12.978809 17.010731
36.363636 14.219349 13.399413 15.039285
37.373737 15.166661 13.583124 16.750199
38.383838 16.107210 13.827796 18.386623
39.393939 16.457399 14.199002 18.715796
40.404040 18.807428 15.331598 22.283258
41.414141 19.589048 15.646327 23.531768
42.424242 16.017153 14.054197 17.980108
43.434343 15.700900 14.579219 16.822581
44.444444 14.270247 13.199302 15.341191
45.454545 14.314180 13.238749 15.389610
46.464646 14.347923 13.244000 15.451846
47.474747 14.359948 13.281261 15.438635
48.484848 14.346179 13.256410 15.435948
49.494949 14.757260 13.260786 16.253734
50.505051 15.974182 14.071280 17.877084
51.515152 18.418798 16.652270 20.185326
52.525253 18.598563 16.772329 20.424797
53.535354 18.414273 16.773763 20.054784
54.545455 18.336758 16.684531 19.988984
55.555556 18.335858 16.681959 19.989757
56.565657 18.411669 16.751402 20.071937
57.575758 17.414741 16.361377 18.468104
58.585859 15.544652 14.587075 16.502230
59.595960 15.947160 14.127426 17.766893
60.606061 15.988296 13.697053 18.279539
61.616162 16.320936 14.518952 18.122920
62.626263 16.338965 14.550495 18.127435
63.636364 16.232116 14.356748 18.107484
64.646465 15.534257 13.903679 17.164836
65.656566 15.169219 13.546523 16.791916
66.666667 16.750580 14.708010 18.793149
67.676768 19.913240 17.940544 21.885937
68.686869 21.291332 19.918641 22.664024
69.696970 21.143145 18.891987 23.394303
70.707071 20.220730 18.806533 21.634926
71.717172 20.023778 18.555362 21.492194
72.727273 19.842996 18.331246 21.354746
73.737374 19.526358 18.035089 21.017628
74.747475 19.662223 18.170952 21.153495
75.757576 19.662359 18.171047 21.153671
76.767677 19.661698 18.170585 21.152812
77.777778 19.562886 17.885804 21.239967
78.787879 19.195569 18.253073 20.138064
79.797980 18.937028 18.112321 19.761735
80.808081 18.215113 16.432340 19.997886
81.818182 16.249618 14.861032 17.638204
82.828283 15.879344 14.513438 17.245250
83.838384 15.760601 14.420790 17.100411
84.848485 15.720412 14.339308 17.101516
85.858586 15.716829 14.332229 17.101429
86.868687 15.721178 14.350736 17.091619
87.878788 15.789154 14.465912 17.112397
88.888889 16.042120 14.870122 17.214117
89.898990 16.564949 15.443274 17.686624
90.909091 16.574171 15.807801 17.340541
91.919192 16.494238 15.767588 17.220888
92.929293 17.294294 15.258459 19.330128
93.939394 16.452123 15.510249 17.393996
94.949495 16.528117 15.596169 17.460065
95.959596 16.575658 15.615017 17.536298
96.969697 16.576389 15.614879 17.537898
97.979798 16.575229 15.611139 17.539320
98.989899 13.516923 4.815552 22.218294
100.000000 3.448472 0.000000 12.314494
