# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000000
2.020202 0.000000 0.000000 0.000000
3.030303 0.000000 0.000000 0.000000
4.040404 0.000000 0.000000 0.000000
5.050505 0.000000 0.000000 0.000000
6.060606 0.000000 0.000000 0.000000
7.070707 0.000000 0.000000 0.000000
8.080808 0.000000 0.000000 0.000000
9.090909 0.000000 0.000000 0.000000
10.101010 0.000000 0.000000 0.000000
11.111111 3.721318 0.000000 13.288827
12.121212 8.500242 0.000000 30.354365
13.131313 0.053958 0.000000 0.192684
14.141414 0.053958 0.000000 0.192684
15.151515 0.373254 0.000000 1.170872
16.161616 4.671053 1.154928 8.187178
17.171717 12.388946 2.246507 22.531386
18.181818 15.021297 5.115098 24.927495
19.191919 18.065610 6.622850 29.508370
20.202020 22.170706 8.078825 36.262586
21.212121 25.091760 8.968360 41.215160
22.222222 29.034355 10.437709 47.631002
23.232323 32.799583 11.735888 53.863278
24.242424 9.108070 0.000000 30.590016
25.252525 1.902628 0.000000 3.815834
26.262626 5.548152 0.051938 11.044366
27.272727 10.368225 0.000000 21.891692
28.282828 14.527688 0.000000 29.593805
29.292929 16.227975 1.285677 31.170274
30.303030 18.092446 2.232818 33.952074
31.313131 20.134101 2.595290 37.672911
32.323232 20.910104 2.935906 38.884302
33.333333 21.808172 4.685560 38.930784
34.343434 22.200382 5.134126 39.266639
35.353535 23.766586 8.154719 39.378453
36.363636 25.338111 10.731750 39.944471
37.373737 25.964188 11.262595 40.665781
38.383838 26.483098 11.570771 41.395424
39.393939 26.898900 11.734893 42.062908
40.404040 28.259917 14.335346 42.184487
41.414141 32.929384 25.802975 40.055792
42.424242 38.805711 37.796345 39.815076
43.434343 40.740493 39.660291 41.820695
44.444444 34.279337 12.408211 56.150463
45.454545 0.271004 0.269898 0.272111
46.464646 0.271004 0.269898 0.272111
47.474747 0.300351 0.223984 0.376718
48.484848 1.962095 1.734182 2.190009
49.494949 2.051093 2.049981 2.052205
50.505051 3.110873 1.998421 4.223324
51.515152 3.466901 2.555838 4.377965
52.525253 3.804943 2.393331 5.216554
53.535354 4.543223 2.711691 6.374755
54.545455 4.899235 2.564573 7.233897
55.555556 6.323292 3.218289 9.428295
56.565657 6.323292 3.218289 9.428295
57.575758 6.327273 3.219990 9.434555
58.585859 7.747375 5.504502 9.990248
59.595960 8.103394 6.272210 9.934578
60.606061 8.815465 6.573177 11.057752
61.616162 9.171471 6.664638 11.678303
62.626263 9.527491 6.858485 12.196497
63.636364 11.307570 8.638579 13.976562
64.646465 11.841483 9.794203 13.888762
65.656566 12.427094 10.691010 14.163178
66.666667 13.443639 10.696746 16.190532
67.676768 14.511687 12.004169 17.019205
68.686869 15.223722 12.476959 17.970485
69.696970 15.223722 12.476959 17.970485
70.707071 15.935741 15.019580 16.851903
71.717172 17.893804 17.435274 18.352334
72.727273 13.899341 5.166501 22.632181
73.737374 1.419639 0.828278 2.010999
74.747475 2.789383 2.144692 3.434075
75.757576 4.254866 3.544528 4.965204
76.767677 6.048353 4.870506 7.226200
77.777778 7.077509 5.858588 8.296430
78.787879 7.633992 6.695240 8.572745
79.797980 8.176842 7.981043 8.372640
80.808081 11.263558 3.525348 19.001768
81.818182 11.263558 3.525348 19.001768
82.828283 11.263558 3.525348 19.001768
83.838384 11.263558 3.525348 19.001768
84.848485 12.390959 5.083326 19.698593
85.858586 15.172038 8.555686 21.788389
86.868687 18.646213 13.370813 23.921613
87.878788 19.221883 12.752270 25.691496
88.888889 11.840907 4.974797 18.707018
89.898990 10.789548 8.042898 13.536198
90.909091 12.401919 10.581327 14.222511
91.919192 14.326419 12.695596 15.957243
92.929293 15.973893 14.915378 17.032408
93.939394 18.183263 16.983406 19.383121
94.949495 20.683090 19.156319 22.209862
95.959596 23.294038 21.392717 25.195359
96.969697 11.214437 3.665678 18.763195
97.979798 7.168151 4.310915 10.025387
98.989899 6.447971 2.310253 10.585689
100.000000 1.713031 0.000000 5.937240
