# fraction_pct mean ci_low ci_high
0.000000 0.003700 0.000000 0.009064
1.010101 0.117920 0.000000 0.301080
2.020202 0.125164 0.000000 0.319660
3.030303 0.184437 0.000000 0.376078
4.040404 0.313272 0.296524 0.330019
5.050505 0.323488 0.313208 0.333767
6.060606 0.371531 0.273628 0.469434
7.070707 2.435781 1.081190 3.790371
8.080808 4.967623 4.156865 5.778381
9.090909 5.485583 5.259977 5.711189
10.101010 5.579149 5.391926 5.766372
11.111111 6.275711 4.810924 7.740498
12.121212 8.790882 6.696597 10.885167
13.131313 9.568370 9.163160 9.973580
14.141414 10.619690 9.915612 11.323767
15.151515 10.119108 9.675442 10.562774
16.161616 7.221377 4.984677 9.458077
17.171717 3.492985 3.177503 3.808468
18.181818 3.482848 3.209016 3.756680
19.191919 3.472905 3.188711 3.757098
20.202020 3.422196 3.136408 3.707984
21.212121 3.435075 3.128020 3.742130
22.222222 3.444870 3.164722 3.725018
23.232323 3.432833 3.148617 3.717048
24.242424 3.441332 3.136269 3.746395
25.252525 3.447070 3.145815 3.748324
26.262626 3.776873 3.014574 4.539172
27.272727 4.768987 4.030828 5.507145
28.282828 5.420998 5.201959 5.640036
29.292929 5.440338 4.982228 5.898448
30.303030 5.950026 5.617021 6.283031
31.313131 6.233389 5.856390 6.610389
32.323232 6.397498 6.099123 6.695873
33.333333 6.591129 6.143095 7.039163
34.343434 6.693975 6.176657 7.211293
35.353535 6.790358 6.216425 7.364291
36.363636 6.852524 6.219332 7.485717
37.373737 6.872483 6.206991 7.537975
38.383838 6.838715 6.215917 7.461514
39.393939 6.831991 6.215079 7.448904
40.404040 6.838534 6.215900 7.461168
41.414141 6.832865 6.215212 7.450518
42.424242 6.830917 6.214905 7.446928
43.434343 6.834857 6.215488 7.454227
44.444444 6.844714 6.216309 7.473119
45.454545 6.840866 6.216096 7.465636
46.464646 6.888297 6.209763 7.566831
47.474747 6.876154 6.233230 7.519078
48.484848 6.907217 6.307050 7.507383
49.494949 7.977223 5.888399 10.066047
50.505051 20.695225 15.956331 25.434120
51.515152 24.845681 23.190541 26.500821
52.525253 24.462498 22.674873 26.250122
53.535354 24.354772 23.473560 25.235984
54.545455 24.744763 22.988561 26.500965
55.555556 26.281627 25.284586 27.278668
56.565657 25.944199 24.521943 27.366455
57.575758 25.653347 24.077714 27.228980
58.585859 25.531584 23.797453 27.265715
59.595960 25.955098 24.256499 27.653697
60.606061 24.863012 23.030366 26.695658
61.616162 25.443896 23.713259 27.174532
62.626263 25.450984 23.729728 27.172240
63.636364 25.339768 23.456338 27.223197
64.646465 25.226466 23.189414 27.263519
65.656566 25.646163 24.040426 27.251900
66.666667 25.456905 23.767405 27.146405
67.676768 25.488037 23.529963 27.446111
68.686869 25.054577 23.327584 26.781570
69.696970 25.711464 23.822446 27.600481
70.707071 25.703095 23.824530 27.581660
71.717172 25.505892 24.046657 26.965127
72.727273 25.810406 24.630720 26.990091
73.737374 26.271022 25.359198 27.182845
74.747475 26.313923 25.347298 27.280548
75.757576 26.663894 25.485562 27.842227
76.767677 26.226314 24.887003 27.565625
77.777778 23.916602 19.784634 28.048570
78.787879 17.733793 16.397540 19.070045
79.797980 16.540701 15.653932 17.427470
80.808081 16.471405 15.567611 17.375198
81.818182 16.436287 15.532503 17.340070
82.828283 16.392580 15.466147 17.319013
83.838384 16.414850 15.471462 17.358238
84.848485 16.457079 15.578404 17.335754
85.858586 16.451911 15.627859 17.275962
86.868687 16.424356 15.481792 17.366921
87.878788 16.394645 15.445423 17.343867
88.888889 16.409181 15.469042 17.349319
89.898990 16.434314 15.469783 17.398844
90.909091 16.448942 15.520609 17.377274
91.919192 16.446527 15.523724 17.369330
92.929293 16.404390 15.471240 17.337540
93.939394 16.403482 15.471984 17.334981
94.949495 16.424034 15.478511 17.369557
95.959596 16.422119 15.473768 17.370470
96.969697 16.411799 15.469778 17.353820
97.979798 9.765498 0.000000 20.055192
98.989899 3.050571 0.000000 10.893589
100.000000 0.000000 0.000000 0.000000
