# fraction_pct mean ci_low ci_high
0.000000 0.000000 0.000000 0.000000
1.010101 0.000000 0.000000 0.000000
2.020202 0.000000 0.000000 0.000000
3.030303 0.000000 0.000000 0.000000
4.040404 0.000000 0.000000 0.000000
5.050505 0.000000 0.000000 0.000000
6.060606 0.000000 0.000000 0.000000
7.070707 0.000000 0.000000 0.000000
8.080808 0.000000 0.000000 0.000000
9.090909 0.000000 0.000000 0.000000
10.101010 0.000000 0.000000 0.000000
11.111111 0.000000 0.000000 0.000000
12.121212 0.000000 0.000000 0.000000
13.131313 0.332542 0.000000 1.006747
14.141414 1.163771 0.000000 2.887018
15.151515 2.369382 0.000000 5.002786
16.161616 3.468226 0.000000 6.998145
17.171717 4.276879 0.000000 8.626345
18.181818 4.529419 0.000000 9.253250
19.191919 4.848653 0.000000 10.122634
20.202020 6.026820 0.000000 12.687841
21.212121 7.430058 0.000000 15.370119
22.222222 5.783523 0.000000 14.051544
23.232323 6.541352 0.000000 15.191780
24.242424 2.267558 0.000000 5.901517
25.252525 2.659694 0.000000 6.077823
26.262626 2.659694 0.000000 6.077823
27.272727 1.554505 0.613628 2.495382
28.282828 2.331776 0.268000 4.395552
29.292929 2.475881 0.173823 4.777939
30.303030 2.865426 0.000000 5.792466
31.313131 3.011210 0.000000 6.126746
32.323232 3.806012 0.000000 8.366989
33.333333 4.621758 0.000000 10.701464
34.343434 5.025997 0.000000 11.720382
35.353535 5.331584 0.000000 11.808547
36.363636 5.931323 0.000000 12.485677
37.373737 6.414829 0.394161 12.435498
38.383838 6.867990 1.153786 12.582194
39.393939 7.028846 0.748686 13.309005
40.404040 8.910944 3.041967 14.779921
41.414141 9.415259 4.102189 14.728329
42.424242 11.181879 6.337477 16.026281
43.434343 13.801596 13.631669 13.971524
44.444444 13.481392 9.636338 17.326445
45.454545 4.196384 0.000000 11.930834
46.464646 0.308624 0.308405 0.308843
47.474747 0.308624 0.308405 0.308843
48.484848 0.308624 0.308405 0.308843
49.494949 0.308624 0.308405 0.308843
50.505051 0.308624 0.308405 0.308843
51.515152 0.308624 0.308405 0.308843
52.525253 0.308624 0.308405 0.308843
53.535354 0.308624 0.308405 0.308843
54.545455 1.376528 0.294991 2.458065
55.555556 2.189123 1.544943 2.833303
56.565657 2.624378 1.513188 3.735568
57.575758 3.067776 1.139689 4.995863
58.585859 3.254750 1.502990 5.006511
59.595960 3.254750 1.502990 5.006511
60.606061 3.676552 2.147329 5.205775
61.616162 3.776712 2.405836 5.147588
62.626263 4.224800 3.309554 5.140047
63.636364 4.224800 3.309554 5.140047
64.646465 4.224800 3.309554 5.140047
65.656566 4.224800 3.309554 5.140047
66.666667 4.224800 3.309554 5.140047
67.676768 4.224800 3.309554 5.140047
68.686869 4.224800 3.309554 5.140047
69.696970 4.540174 3.482055 5.598294
70.707071 5.648822 5.648531 5.649114
71.717172 5.648822 5.648531 5.649114
72.727273 5.648822 5.648531 5.649114
73.737374 4.135742 1.590093 6.681392
74.747475 0.599342 0.437236 0.761448
75.757576 1.049773 0.881426 1.218120
76.767677 1.361554 1.222568 1.500541
77.777778 1.734476 1.618809 1.850143
78.787879 1.926008 1.686493 2.165524
79.797980 2.162270 1.974021 2.350518
80.808081 2.235906 2.074158 2.397655
81.818182 2.235906 2.074158 2.397655
82.828283 2.504983 1.729211 3.280755
83.838384 2.750645 1.349487 4.151803
84.848485 2.789746 1.366132 4.213360
85.858586 2.534204 1.762618 3.305790
86.868687 3.107560 1.115223 5.099896
87.878788 2.688031 1.523063 3.852999
88.888889 2.688031 1.523063 3.852999
89.898990 3.338694 1.183322 5.494066
90.909091 2.687932 1.529574 3.846289
91.919192 2.691002 1.524862 3.857142
92.929293 3.084587 0.914134 5.255039
93.939394 2.287701 2.062876 2.512526
94.949495 2.287701 2.062876 2.512526
95.959596 2.282566 2.110369 2.454763
96.969697 1.686034 0.449981 2.922086
97.979798 0.517058 0.472138 0.561977
98.989899 0.398898 0.217445 0.580351
100.000000 0.139400 0.074165 0.204634
