# fraction_pct mean ci_low ci_high
0.000000 0.058289 0.000000 0.137994
1.010101 0.179787 0.139369 0.220206
2.020202 0.214122 0.194474 0.233771
3.030303 0.250916 0.223431 0.278400
4.040404 0.310625 0.265131 0.356120
5.050505 0.372345 0.358420 0.386270
6.060606 0.387186 0.383770 0.390602
7.070707 0.389175 0.385224 0.393126
8.080808 0.399884 0.384164 0.415604
9.090909 0.455206 0.396127 0.514285
10.101010 0.505688 0.495261 0.516115
11.111111 0.511016 0.496121 0.525911
12.121212 0.517231 0.504468 0.529994
13.131313 0.528816 0.521764 0.535869
14.141414 0.546609 0.525600 0.567619
15.151515 0.564966 0.560098 0.569833
16.161616 0.598042 0.585939 0.610145
17.171717 0.603527 0.590283 0.616771
18.181818 0.615343 0.597110 0.633576
19.191919 0.630872 0.614055 0.647688
20.202020 0.655883 0.645485 0.666281
21.212121 0.686927 0.674763 0.699091
22.222222 0.701388 0.695105 0.707671
23.232323 0.712253 0.700781 0.723725
24.242424 0.719864 0.706812 0.732916
25.252525 0.741130 0.735177 0.747083
26.262626 0.789447 0.760566 0.818328
27.272727 0.831731 0.809654 0.853808
28.282828 0.894854 0.837537 0.952171
29.292929 1.001603 0.971200 1.032005
30.303030 1.017655 0.992014 1.043296
31.313131 1.025200 0.996072 1.054329
32.323232 1.035849 0.997252 1.074447
33.333333 1.232063 1.074211 1.389915
34.343434 1.316649 1.271628 1.361669
35.353535 1.354069 1.307299 1.400839
36.363636 1.366105 1.332104 1.400106
37.373737 1.373859 1.337320 1.410398
38.383838 1.373510 1.336780 1.410240
39.393939 1.372853 1.336307 1.409399
40.404040 1.372060 1.335632 1.408487
41.414141 1.372188 1.335748 1.408627
42.424242 1.372237 1.335792 1.408681
43.434343 1.372260 1.335813 1.408706
44.444444 1.376232 1.334042 1.418422
45.454545 1.376409 1.333432 1.419387
46.464646 1.378148 1.337255 1.419041
47.474747 1.378759 1.338578 1.418939
48.484848 1.380480 1.337838 1.423122
49.494949 1.381818 1.338783 1.424854
50.505051 1.380961 1.338307 1.423615
51.515152 1.380985 1.338325 1.423646
52.525253 1.380985 1.338325 1.423646
53.535354 1.381035 1.338362 1.423709
54.545455 1.381270 1.338562 1.423977
55.555556 1.381270 1.338562 1.423977
56.565657 1.387093 1.333090 1.441096
57.575758 1.391170 1.338582 1.443758
58.585859 1.393697 1.342842 1.444552
59.595960 1.395621 1.343978 1.447264
60.606061 1.429095 1.339042 1.519147
61.616162 1.448125 1.369911 1.526340
62.626263 1.485768 1.442064 1.529471
63.636364 1.498794 1.442921 1.554666
64.646465 1.517352 1.446552 1.588152
65.656566 1.518395 1.443789 1.593002
66.666667 1.514602 1.442825 1.586380
67.676768 1.514235 1.442765 1.585706
68.686869 1.514734 1.443319 1.586148
69.696970 1.514805 1.443318 1.586293
70.707071 1.515375 1.442917 1.587832
71.717172 1.515974 1.443014 1.588934
72.727273 1.515837 1.442756 1.588918
73.737374 1.515237 1.443236 1.587238
74.747475 1.515240 1.443237 1.587244
75.757576 1.515407 1.443273 1.587542
76.767677 1.515435 1.443253 1.587616
77.777778 1.515874 1.442907 1.588841
78.787879 1.516540 1.442364 1.590717
79.797980 1.517122 1.442463 1.591780
80.808081 1.516796 1.442191 1.591401
81.818182 1.516561 1.442675 1.590448
82.828283 1.517091 1.442279 1.591902
83.838384 1.518306 1.442102 1.594509
84.848485 1.518370 1.442114 1.594625
85.858586 1.518394 1.442119 1.594669
86.868687 1.517944 1.442029 1.593859
87.878788 1.518286 1.442099 1.594473
88.888889 1.517918 1.442023 1.593812
89.898990 1.518375 1.442115 1.594635
90.909091 1.518375 1.442115 1.594635
91.919192 1.518847 1.443103 1.594590
92.929293 1.519279 1.443671 1.594888
93.939394 1.520944 1.446548 1.595340
94.949495 1.520954 1.446559 1.595349
95.959596 1.518178 1.443418 1.592938
96.969697 1.519793 1.445166 1.594420
97.979798 1.519866 1.445235 1.594498
98.989899 1.519451 1.445321 1.593581
100.000000 0.118082 0.000000 0.421672
