# time_s density
16.2428174 0.00057775346
16.245542 0.000729715431
16.2482665 0.000918464863
16.2509911 0.00115204544
16.2537156 0.00144004058
16.2564401 0.00179381609
16.2591647 0.00222678956
16.2618892 0.00275472674
16.2646138 0.00339606486
16.2673383 0.00417226174
16.2700628 0.00510816893
16.2727874 0.00623242579
16.2755119 0.00757787023
16.2782364 0.00918196056
16.280961 0.0110872011
16.2836855 0.013341563
16.2864101 0.0159988889
16.2891346 0.01911927
16.2918591 0.0227693809
16.2945837 0.0270227558
16.2973082 0.0319599893
16.3000328 0.0376688424
16.3027573 0.0442442345
16.3054818 0.0517880994
16.3082064 0.0604090868
16.3109309 0.0702220869
16.3136554 0.0813475603
16.31638 0.0939106565
16.3191045 0.108040105
16.3218291 0.12386687
16.3245536 0.141522564
16.3272781 0.161137613
16.3300027 0.18283919
16.3327272 0.20674892
16.3354518 0.232980384
16.3381763 0.261636445
16.3409008 0.292806437
16.3436254 0.326563271
16.3463499 0.362960489
16.3490744 0.402029361
16.351799 0.443776068
16.3545235 0.488179056
16.3572481 0.535186643
16.3599726 0.584714959
16.3626971 0.636646293
16.3654217 0.690827948
16.3681462 0.74707165
16.3708708 0.805153607
16.3735953 0.864815262
16.3763198 0.925764784
16.3790444 0.98767934
16.3817689 1.05020815
16.3844934 1.11297634
16.387218 1.17558953
16.3899425 1.23763915
16.3926671 1.29870841
16.3953916 1.35837883
16.3981161 1.41623718
16.4008407 1.47188285
16.4035652 1.52493525
16.4062898 1.57504142
16.4090143 1.62188337
16.4117388 1.66518518
16.4144634 1.70471966
16.4171879 1.74031431
16.4199124 1.77185658
16.422637 1.79929809
16.4253615 1.82265788
16.4280861 1.84202447
16.4308106 1.8575566
16.4335351 1.86948275
16.4362597 1.87809929
16.4389842 1.88376722
16.4417087 1.88690772
16.4444333 1.88799637
16.4471578 1.88755624
16.4498824 1.88614993
16.4526069 1.88437074
16.4553314 1.88283306
16.458056 1.88216229
16.4607805 1.88298429
16.4635051 1.88591475
16.4662296 1.89154863
16.4689541 1.90044978
16.4716787 1.91314105
16.4744032 1.93009509
16.4771277 1.95172595
16.4798523 1.97838159
16.4825768 2.01033762
16.4853014 2.04779223
16.4880259 2.09086238
16.4907504 2.13958148
16.493475 2.19389838
16.4961995 2.2536778
16.4989241 2.31870214
16.5016486 2.38867466
16.5043731 2.46322379
16.5070977 2.54190873
16.5098222 2.62422589
16.5125467 2.7096164
16.5152713 2.79747413
16.5179958 2.88715441
16.5207204 2.97798305
16.5234449 3.06926552
16.5261694 3.16029628
16.528894 3.25036779
16.5316185 3.33877931
16.5343431 3.42484526
16.5370676 3.50790288
16.5397921 3.58731933
16.5425167 3.66249788
16.5452412 3.7328833
16.5479657 3.79796634
16.5506903 3.85728727
16.5534148 3.91043849
16.5561394 3.95706628
16.5588639 3.99687167
16.5615884 4.02961048
16.564313 4.05509277
16.5670375 4.07318156
16.5697621 4.0837911
16.5724866 4.0868847
16.5752111 4.08247231
16.5779357 4.07060786
16.5806602 4.05138654
16.5833847 4.02494209
16.5861093 3.99144414
16.5888338 3.95109572
16.5915584 3.904131
16.5942829 3.85081322
16.5970074 3.79143287
16.599732 3.72630615
16.6024565 3.65577367
